,length
0,[2.06967792 2.12448306 2.03502543 2.12448306 2.03502543 2.06967792]
1,[2.03502543 2.12448306 2.06967792 2.06967792 2.03502543 2.12448306]
2,[2.06967792 2.03502543 2.12448306 2.03502543 2.12448306 2.06967792]
3,[2.12448306 2.03502543 2.06967792 2.06967792 2.12448306 2.03502543]
