,length
0,[2.05142425 2.03600418 2.04377699 2.03925007 1.99463265 2.01453379]
1,[2.05714833 1.9962387  2.05714833 2.01262975 2.05939748 1.9962387 ]
2,[2.03925007 1.99463265 2.01453379 2.05142425 2.03600418 2.04377699]
3,[1.91419364 1.9631291  1.91419364 1.99329298]
4,[2.03423916 2.03925896 2.03811021 2.04024351 1.99933188 2.03676348]
5,[1.92600249 2.06237063 1.92600249 1.93741031]
6,[1.90751157 1.9644228  1.90751157 1.99536959]
7,[2.04024351 1.99933188 2.03676348 2.03423916 2.03925896 2.03811021]
8,[2.03572847 2.04364051 2.04307556 2.03376765 2.03063943 2.03493125]
9,[1.90822629 1.98470002 1.90822629 1.99053589]
10,[2.03376765 2.03063943 2.03493125 2.03572847 2.04364051 2.04307556]
11,[2.03604042 2.02899468 2.01405605 2.04860254 2.0324596  2.04296225]
12,[2.04860254 2.0324596  2.04296225 2.03604042 2.02899468 2.01405605]
13,[1.91547305 1.98050203 1.91547305 2.01182133]
14,[2.04587346 2.00049882 2.04587346 2.0160964  2.04752123 2.00049882]
15,[1.93186728 2.06653236 1.93186728 1.94280417]
