,length
0,[2.04097607 1.99440108 2.03774356 2.03015554 2.03475751 2.03525665]
1,[1.91214304 1.97461858 1.91214304 1.99730247]
2,[2.04703367 1.9902074  2.04703367 2.00128763 2.05828876 1.9902074 ]
3,[2.03015554 2.03475751 2.03525665 2.04097607 1.99440108 2.03774356]
4,[2.0359863  2.0256497  2.03682956 2.0374991  2.03959114 2.04196608]
5,[1.90409765 1.97521567 1.90409765 2.00144144]
6,[2.0374991  2.03959114 2.04196608 2.0359863  2.0256497  2.03682956]
7,[2.03339332 2.02416899 2.01902152 2.04721541 2.02433798 2.03900319]
8,[1.90469572 1.99212117 1.90469572 2.0013121 ]
9,[2.04721541 2.02433798 2.03900319 2.03339332 2.02416899 2.01902152]
10,[1.9106942  1.99021384 1.9106942  2.01687013]
11,[1.92453148 2.04964737 1.92453148 1.93873603]
