,length
0,[2.00335263 2.00335263 1.99189738 2.09091922 2.01277757 2.09091922]
1,[2.00335263 1.99189738 2.00335263 2.09091922 2.09091922 2.01277757]
2,[2.09091922 2.09091922 2.01277757 2.00335263 1.99189738 2.00335263]
3,[2.09091922 2.01277757 2.09091922 2.00335263 2.00335263 1.99189738]
4,[2.03812119 1.97865207 2.04342159 2.04342159 1.97865207 2.03812119]
5,[2.04342159 1.97865207 2.03812119 2.03812119 1.97865207 2.04342159]
6,[1.97865207 2.04342159 2.03812119 2.03812119 2.04342159 1.97865207]
7,[2.03812119 2.04342159 1.97865207 1.97865207 2.04342159 2.03812119]
