,length
0,[2.03067863 2.05665713 2.03068658 2.00883589 2.02245187 2.00883594]
1,[2.00883589 2.02245187 2.00883594 2.03067863 2.05665713 2.03068658]
2,[2.033825   2.02662784 2.03382896 2.02265837 2.03202727 2.02265842]
3,[2.0088359  2.03068748 2.0224475  2.0088359  2.03068748 2.05665718]
4,[2.01651785 2.03554394 2.03554398 2.01651785 2.03554394 2.01652595]
5,[2.02265837 2.03202727 2.02265842 2.033825   2.02662784 2.03382896]
6,[2.03653443 2.02664244 2.03653013 2.0188286  2.02678907 2.01882866]
7,[2.02265838 2.03382938 2.03202732 2.02265838 2.03382938 2.02663676]
8,[2.01882861 2.03652994 2.02678471 2.01882861 2.03652994 2.02664249]
9,[2.02122863 2.03096729 2.03097135 2.02122863 2.03096729 2.02122463]
10,[2.0188286  2.02678907 2.01882866 2.03653443 2.02664244 2.03653013]
11,[1.93277243 1.93277248 2.01839978 1.93277243]
