,length
0,[2.01865417 2.01564637 2.01866491 2.01866005 2.0155079  2.01863331]
1,[2.01864554 2.01552356 2.01865249 2.01867306 2.01563761 2.0186501 ]
2,[2.01862837 2.01866924 2.01551094 2.01865126 2.01564294 2.01865876]
3,[2.0186592  2.01551447 2.01864745 2.01564648 2.01867785 2.0186321 ]
