,length
0,[2.03858424 2.5842606  1.96467182 1.95093855 2.40153056]
1,[1.96467182 2.5842606  2.40153056 2.03858424 1.95093855]
2,[1.95093855 2.03858424 2.40153056 1.96467182 2.5842606 ]
3,[2.40153056 1.95093855 2.5842606  1.96467182 2.03858424]
