,angle
0,90.97004877604044
1,91.3393879827942
2,88.66061201720579
3,89.02995122395957
4,180.0
5,87.11350142277882
6,92.88649857722118
7,179.99999879258172
8,89.02995122395957
9,180.0
10,92.88649857722118
11,88.6606120172058
12,87.11350142277882
13,91.3393879827942
14,90.97004877604041
15,91.33938798279421
16,90.97004877604043
17,89.02995122395957
18,88.66061201720579
19,180.0
20,87.11350142277882
21,92.88649857722118
22,180.0
23,88.6606120172058
24,180.0
25,92.88649857722118
26,89.02995122395957
27,87.11350142277882
28,90.97004877604041
29,91.33938798279421
30,87.11350142277882
31,91.3393879827942
32,88.6606120172058
33,92.88649857722118
34,180.0
35,90.97004877604044
36,89.02995122395957
37,179.99999879258172
38,92.88649857722119
39,180.0
40,89.02995122395956
41,88.66061201720579
42,90.97004877604043
43,91.3393879827942
44,87.11350142277882
45,87.11350142277884
46,90.97004877604043
47,89.02995122395957
48,92.88649857722118
49,180.0
50,91.3393879827942
51,88.6606120172058
52,180.0
53,92.88649857722116
54,180.0
55,88.66061201720579
56,89.02995122395956
57,91.33938798279421
58,90.97004877604043
59,87.11350142277882
