,length
0,"[2.30571334 2.30571334 2.30571334 1.90149298 2.7958495  2.30571334
 2.7958495  1.90149298]"
1,"[2.30571334 2.30571334 2.30571334 1.90149298 2.30571334 2.7958495
 1.90149298 2.7958495 ]"
