,length
0,[1.96820383 1.95374347 1.90559444 1.96109298]
1,[1.96109298 1.90559444 1.95374347 1.96820383]
2,[1.95855112 1.96407248 2.40410477 1.99650816 1.92677365]
3,[1.92677365 1.99650816 2.40410477 1.96407248 1.95855112]
4,[1.91251718 1.92263458 1.97255499 1.99795372]
5,[1.99795372 1.97255499 1.92263458 1.91251718]
