,length
0,[1.94200848 1.94200848 2.33233544 1.96755863 1.96755863]
1,[1.96755863 1.96755863 2.33233544 1.94200848 1.94200848]
2,[1.94200942 1.94200942 1.96755346 1.96755346 2.33232901]
3,[1.96755346 1.96755346 2.33232901 1.94200942 1.94200942]
