,length
0,[2.24162184 1.94277678 1.99008275 1.99008275 1.94277678 2.24162184]
1,[1.99008275 1.94277678 2.24162184 2.24162184 1.94277678 1.99008275]
2,[1.94277678 1.99008275 2.24162184 2.24162184 1.99008275 1.94277678]
3,[2.24162184 1.99008275 1.94277678 1.94277678 1.99008275 2.24162184]
