,length
0,[1.97459272 1.97459272 1.94648663 1.94648663]
1,[1.97459272 1.94648663 1.94648663 1.97459272]
2,[1.97459272 1.94648663 1.94648663 1.97459272]
3,[1.94648663 1.94648663 1.97459272 1.97459272]
