,length
0,[2.01684475 1.93405401 2.01687668 2.45353045 1.93408996]
1,[1.93730302 2.0554301  1.93731452 2.25559817 2.05544445]
2,[2.01762974 1.93339161 2.45256365 2.01761383 1.933367  ]
3,[2.05678184 1.93748147 2.05679198 1.93749009 2.25326818]
4,[1.93767048 2.05715409 2.25384603 1.9376687  2.05715631]
5,[2.05576955 1.93767042 2.05578124 2.25495568 1.93767171]
6,[2.45308983 1.93384895 2.01746137 1.93382566 2.01743748]
7,[1.93315488 2.01713496 1.93314688 2.45460737 2.01713692]
