,length
0,"[2.54463878 2.54463878 2.54463878 4.39899495 4.65971391 3.74924774
 4.39638267 4.65971391 3.74924774 4.39638267 4.65971391 4.39638267
 4.65971391 3.74924774 4.39638267 4.65971391 4.39638267 4.65971391
 4.39638267 4.39899495 3.74924774 3.74924774 3.74924774 2.54463878
 2.54463878 2.54463878]"
1,"[4.65971391 4.39638267 4.65971391 4.39638267 4.65971391 4.39638267
 3.74924774 3.74924774 4.39899495 2.54463878 2.54463878 2.54463878
 2.54463878 3.74924774 2.54463878 2.54463878 4.39899495 3.74924774
 4.65971391 4.39638267 3.74924774 4.65971391 4.39638267 3.74924774
 4.65971391 4.39638267]"
2,"[4.65971391 4.39638267 4.65971391 4.39638267 2.54463878 3.74924774
 2.54463878 4.39899495 2.54463878 3.74924774 4.65971391 4.39638267
 4.65971391 4.39638267 3.74924774 2.54463878 3.74924774 4.39899495
 2.54463878 2.54463878 3.74924774 4.65971391 4.39638267 3.74924774
 4.65971391 4.39638267]"
3,"[4.65971391 4.39638267 2.54463878 3.74924774 4.39899495 2.54463878
 2.54463878 4.65971391 4.39638267 3.74924774 4.65971391 4.39638267
 4.65971391 4.39638267 3.74924774 4.65971391 4.39638267 3.74924774
 2.54463878 3.74924774 2.54463878 4.39899495 2.54463878 3.74924774
 4.65971391 4.39638267]"
