,length
0,[1.92387636 1.88901795 1.96816818 1.96116978]
1,[2.05225747 2.04888607 2.03539269 2.06636632 2.04301013 2.04049125]
2,[1.9664354  1.96975471 1.89391301 1.92988905]
3,[1.98469759 2.01575177 1.99939219 1.99977516 2.02546236 1.98300322]
4,[2.03539269 2.04888607 2.05225747 2.04049125 2.04301013 2.06636632]
5,[1.91483535 1.90012378 1.94491981 1.90292348]
6,[1.99939219 2.01575177 1.98469759 1.98300322 2.02546236 1.99977516]
7,[1.96975471 1.9664354  1.92988905 1.89391301]
8,"[2.040428   3.72962729 3.49332072 3.65349804 3.00067648 3.486441
 3.57009339 2.9678394  2.01802251 3.69928781 2.06161144 2.97940407
 3.55069268 3.72303145 2.05916465 3.51374448 3.60517803 3.00067648
 2.02433953 3.76071165 2.99786887 2.98965815 3.64216356 3.47513243
 3.49956633 2.04515824]"
9,[1.92387636 1.96116978 1.96816818 1.88901795]
10,"[2.97940407 2.06161144 3.55069268 3.69928781 2.01802251 3.57009339
 2.9678394  3.486441   3.65349804 3.00067648 3.72962729 3.49332072
 2.040428   2.04515824 3.49956633 3.64216356 3.47513243 2.99786887
 2.02433953 3.76071165 2.98965815 3.60517803 3.00067648 2.05916465
 3.72303145 3.51374448]"
11,[1.90012378 1.91483535 1.90292348 1.94491981]
