,length
0,"[3.7631215  3.55015332 2.05437892 2.05437892 2.05437892 3.55138769
 3.02758092 3.55015332 3.7631215  3.7631215  3.02758092 3.55015332
 3.55015332 3.7631215  3.7631215  3.02758092 3.55015332 2.05437892
 2.05437892 2.05437892 3.55138769 3.02758092 3.02758092 3.55015332
 3.7631215  3.02758092]"
1,"[3.7631215  3.55015332 3.55015332 3.7631215  2.05437892 2.05437892
 3.55138769 2.05437892 3.02758092 3.7631215  3.02758092 3.55015332
 3.55015332 3.7631215  2.05437892 2.05437892 3.55138769 2.05437892
 3.02758092 3.02758092 3.7631215  3.02758092 3.55015332 3.55015332
 3.7631215  3.02758092]"
2,"[3.7631215  3.55015332 3.55015332 3.7631215  3.55015332 3.7631215
 2.05437892 3.55138769 2.05437892 2.05437892 3.02758092 3.02758092
 2.05437892 3.55138769 2.05437892 2.05437892 3.02758092 3.7631215
 3.02758092 3.55015332 3.7631215  3.02758092 3.55015332 3.55015332
 3.7631215  3.02758092]"
3,"[3.55138769 2.05437892 2.05437892 2.05437892 3.7631215  3.55015332
 3.02758092 3.7631215  3.55015332 3.02758092 3.7631215  3.55015332
 3.7631215  3.55015332 3.02758092 3.7631215  3.55015332 3.7631215
 3.55015332 3.55138769 2.05437892 2.05437892 2.05437892 3.02758092
 3.02758092 3.02758092]"
