,angle
0,112.73913690985778
1,105.55840045357792
2,115.20266928693809
3,109.30291117040326
4,110.58453492537753
5,102.69594274292524
6,83.78716159266104
7,82.59295136969621
8,98.66615980729799
9,91.85474005529203
10,178.39989907340077
11,80.68079317542393
12,101.92155496882044
13,173.02444222737114
14,97.81256093499083
15,177.1965699014168
16,93.38313333722868
17,97.67867303691361
18,84.08593442027419
19,80.99334520572789
20,86.5561172715576
21,93.6498407208302
22,86.492452135885
23,95.33072510325272
24,86.19153045455364
25,175.5474578880543
26,93.57523476540426
27,81.67814795002994
28,177.99405678423634
29,82.63966990378083
30,175.00355714375155
31,88.41173757158477
32,96.16717609971046
33,96.34307391438195
34,81.73076257232744
35,97.43024653190774
36,96.5151407650805
37,91.13999417567695
38,85.08495773816024
39,85.09215869994114
40,178.4024042846629
41,86.99546211772547
42,96.61901840405024
43,178.27746364571743
44,83.01164070766025
45,175.03735546927348
46,93.60097236562734
47,90.3592382252597
48,82.88333370818377
49,93.4490108531712
50,95.36502615108013
51,110.12044544812443
52,110.466375464991
53,109.83344798949337
54,106.77875985011437
55,108.36336563019782
56,111.21130212845544
57,84.45927991568524
58,83.41188125031383
59,96.88392870048138
60,97.52888723821637
61,178.31875675591905
62,87.32550366003817
63,94.14349313879521
64,177.23909203758893
65,94.6710096520401
66,178.52190436138832
67,94.79395581183027
68,95.11737647146705
69,83.73268573741451
70,84.60706616540656
71,83.3893139659606
72,86.69334745022432
73,92.90366658220964
74,86.41568075169457
75,93.00842796536514
76,172.5334547841294
77,96.57570153805729
78,83.56811983840942
79,179.47002199393123
80,97.59269618322654
81,179.29614211179415
82,82.99990452259507
83,80.567237606094
84,96.85240169149614
85,100.10058735731526
86,82.65708424419921
87,94.47441707381117
88,94.90316852673716
89,86.65884260916664
90,85.41988608893573
91,178.3487510538822
92,83.40784422818801
93,94.9242807419989
94,177.89386629997637
95,87.15011263322268
96,177.7920494774854
97,94.50345370974931
98,85.56986603920521
99,87.1705885747333
100,92.91208310173653
101,92.96756382598805
102,112.4109505371638
103,105.80144644413768
104,111.90481061604714
105,107.84523776684738
106,110.7726472003282
107,107.79155813191011
108,89.87873884635657
109,92.7175421106051
110,93.74669846645227
111,88.56486436020879
112,173.55473785447958
113,88.5778356501092
114,92.7088312030014
115,176.75694820506234
116,91.98038199480418
117,173.41094087731886
118,88.65417023767296
119,93.49732456663888
120,90.23218506329603
121,80.00439185212434
122,89.87484419337856
123,104.5163084737849
124,108.6288082678065
125,112.3633241559186
126,107.53513082141563
127,110.55399132874281
128,112.80728711235132
129,171.04485355852404
130,123.17780914124484
131,116.7444291943096
132,116.70687186372982
133,64.05138901577119
134,55.12812748762548
135,63.80988413675291
136,96.31890707223076
137,101.58174739942004
138,97.6359409216766
139,81.22468789715977
140,83.16923921855653
141,93.82378335975515
142,105.23283395426638
143,173.36845965091896
144,84.1497566399239
145,90.84186949773158
146,173.53965552558796
147,92.90075438955171
148,174.49193621833592
149,96.67867141312419
150,93.2189341227816
151,88.55509444793877
152,89.3132599756784
153,80.661496846447
154,94.9813079738935
155,104.96627310287673
156,84.27077068026382
157,85.05739494541805
158,177.53723628565663
159,85.22931147912567
160,90.30499390544034
161,173.113976113563
162,85.69248909646616
163,170.0324677459305
164,101.42897204718493
165,77.44181358605218
166,82.84377862840309
167,93.36120361741663
168,93.98890478584462
169,94.00341212859482
170,95.27273803096789
171,60.877524710112006
172,119.0566941438073
173,94.0399667823411
174,55.62035209269891
175,129.8825334595091
176,57.36548164462506
177,116.90318995842811
178,173.58287510611265
179,108.15391839410502
180,107.10910118008039
181,109.400595022303
182,108.4411665405077
183,107.76513290083713
184,115.75118884532318
