,length
0,[1.92310807 1.95013305 1.92064849 1.95204349]
1,"[3.7573978  3.53266765 2.05962915 2.05204742 3.77600854 3.02478461
 3.03184882 3.62609554 3.01974566 3.68390097 3.51135248 2.06105227
 3.54185426 2.05032986 3.52931797 3.683592   3.01974566 3.52056657
 3.59427356 3.00046972 3.72007006 2.0386519  3.01456013 3.56181147
 2.06413859 3.74025776]"
2,[1.95011832 1.95204887 1.92310808 1.92065318]
3,"[2.06105227 3.54185426 3.68390097 3.51135248 3.02478461 3.77600854
 2.05204742 3.03184882 3.62609554 3.01974566 3.7573978  3.53266765
 2.05962915 3.01456013 3.56181147 3.74025776 2.06413859 3.59427356
 3.00046972 2.0386519  3.72007006 3.683592   3.01974566 3.52056657
 2.05032986 3.52931797]"
4,"[3.03184559 2.05205185 3.77600842 3.02477862 3.52057206 3.53266494
 3.75739333 3.52930823 2.06414262 3.68359695 3.56182671 3.01975127
 3.72005541 2.05032187 3.59427793 3.54186488 3.62608999 2.06105204
 3.01973918 3.68390077 2.05961652 3.51134787 3.74027295 3.01456622
 2.03864371 3.0004606 ]"
5,[1.92064857 1.92310289 1.95204377 1.95013305]
6,"[2.03865214 3.51135765 3.54185943 3.74026818 3.72006998 2.0503172
 3.00045775 3.59427347 2.06413843 3.68358166 3.01456364 3.56182427
 3.01973918 2.05962118 3.68390528 3.53266764 3.62609564 2.06105625
 3.77600853 3.03184879 3.01975127 3.75739344 3.52931279 3.02478209
 2.05205202 3.52056141]"
7,[1.95013305 1.92310807 1.95204349 1.92064849]
8,"[2.06413843 3.68358166 3.01456364 3.01973918 3.56182427 2.0503172
 3.72006998 3.00045775 3.59427347 3.54185943 3.74026818 2.03865214
 3.51135765 3.02478209 2.05205202 3.52056141 3.75739344 3.52931279
 3.62609564 3.77600853 2.06105625 3.03184879 3.01975127 3.68390528
 2.05962118 3.53266764]"
9,[1.92310289 1.92064857 1.95013305 1.95204377]
10,"[3.59427793 2.05032187 3.72005541 3.68359695 2.06414262 3.01975127
 3.56182671 3.53266494 3.75739333 3.52930823 3.03184559 2.05205185
 3.77600842 3.02477862 3.52057206 2.03864371 3.0004606  3.74027295
 3.01456622 2.05961652 3.68390077 3.51134787 3.54186488 2.06105204
 3.62608999 3.01973918]"
11,[1.95204887 1.95011832 1.92065318 1.92310808]
