,length
0,[1.94357599 1.93370628 1.8868576  1.93412948]
1,[2.09919628 1.93067769 2.13123863 2.07887069 2.04474793 2.08243631]
2,[1.97112101 1.90657972 1.97316711 1.90590115 1.98782658 1.92378222]
3,[2.04764489 2.0512705  1.95969903 1.8679684  2.10260131 2.030258  ]
4,[1.88711322 1.87475958 1.97710537 1.93956815]
5,[2.06900539 2.03629774 2.04044217 2.04150689 2.04455856 2.10210424]
6,[2.05583537 2.0662885  2.13119872 2.07847907 2.11199736 1.9638151 ]
7,[2.05528449 2.04779514 2.05125224 2.04473926 2.03778311 2.08426616]
8,[1.96885996 1.94717625 1.92845762 1.9507381 ]
9,[2.08535624 2.02087007 2.08465986 2.0755366  2.10836632 2.08391413]
10,[1.90342345 1.93866974 1.90056064 1.91481901]
11,[1.87025876 2.24572204 1.95090422 2.09186077 1.99908604]
12,[1.88043378 2.21280348 1.89479289 1.97902822 2.02326972 2.03932849]
13,[1.83465659 2.00937527 2.11611019 2.25128406 1.90599389 1.94549425]
14,[1.91944547 1.958436   1.9569691  2.33933069 1.80183187]
15,[1.97965715 1.91380508 1.9342392  1.94468876]
