,length
0,[2.10033194 2.04492086 2.1003272  2.1003272  2.10033194 2.04492086]
1,[2.04492086 2.10033194 2.1003272  2.1003272  2.10033194 2.04492086]
2,[2.08244967 2.12574231 2.03220567 2.1257506  2.08245021 2.03221472]
3,[2.03221472 2.1257506  2.08245021 2.03220567 2.08244967 2.12574231]
4,[2.03221472 2.08245021 2.1257506  2.03220567 2.12574231 2.08244967]
5,[2.12574231 2.08244967 2.03220567 2.08245021 2.1257506  2.03221472]
