,length
0,[1.95362518 1.95362541 1.92050281 1.9536252 ]
1,[2.09351502 2.04656936 2.09351527 2.09886222 2.06027372 2.09886213]
2,[2.09351506 2.09886224 2.06027373 2.04656937 2.09351531 2.09886215]
3,[1.9625583  1.96255853 1.92438176 1.96255827]
4,[2.06027347 2.09886222 2.0935153  2.09886222 2.09351529 2.04656933]
5,"[3.76639251 3.70686884 2.08269926 3.52394098 3.76639282 2.02526959
 3.50805318 2.99484629 2.99484659 2.08269943 3.60296488 3.52394114
 2.94871041 3.56996721 2.11322106 3.54131911 2.05243246 3.51808627
 3.00541497 3.70090395 3.54131915 2.11322089 3.66882504 3.02098062
 3.70090364 3.00541467]"
6,"[3.76639253 2.99484656 3.70686885 3.60296532 2.08269927 2.94871069
 3.52394064 2.1132211  3.541319   2.05243247 3.51808615 3.00541497
 3.70090351 3.76639238 2.02526961 3.50805306 2.99484659 2.08269944
 3.52394103 3.54131881 2.11322093 3.56996764 3.66882507 3.02098089
 3.70090365 3.00541494]"
7,"[3.51394643 2.05581018 3.71451527 3.70415781 3.00766233 3.52495451
 2.07126868 3.56838917 3.49957691 2.9988115  3.71451558 2.9988118
 2.05581043 3.52495446 2.05554976 3.70422867 3.5572469  2.07095189
 3.50294125 3.00144976 3.68531661 3.04296134 3.51394632 3.70422846
 2.05554958 3.00144946]"
8,"[2.0524323  3.56996737 3.00541494 3.70090394 3.70686886 3.51808599
 3.54131928 2.11322108 3.00541467 3.70090349 2.08269943 3.52394097
 3.54131904 2.11322108 3.76639235 2.08269943 3.52394121 3.66882507
 3.0209808  3.50805295 2.99484629 3.76639281 2.99484656 3.60296503
 2.02526961 2.94871057]"
9,"[2.0558102  3.71451528 2.99881177 3.70415782 3.0076626  3.52495417
 2.05554977 3.51394632 3.70422824 3.55724733 2.0709519  3.50294114
 3.00144976 2.07126868 3.5683896  3.4995768  3.71451515 2.9988118
 2.05581044 3.52495435 3.68531662 3.04296161 3.51394598 3.70422847
 2.05554961 3.00144972]"
10,"[3.6974643  3.52879998 2.94871057 3.63533625 2.08866442 3.04296167
 3.04296161 3.04296134 3.72327346 2.043792   3.50607791 3.52880049
 2.08866473 3.72327301 3.69746424 2.94871041 2.043792   3.50607814
 3.52880027 2.08866475 3.69746469 2.94871069 2.04379192 3.4430757
 3.72327318 3.50607799]"
11,"[3.52070526 3.7101675  3.53836251 3.50814489 3.65232982 2.09251495
 2.07560385 3.50997479 3.05103657 3.53836272 3.71016786 3.05103688
 3.02989068 2.09251512 3.5396172  2.05590397 3.56406448 2.05286235
 2.94922468 3.7678163  3.52070527 3.71150797 2.9648485  3.76781599
 2.05590384 2.94922438]"
12,"[2.07095172 3.55724704 3.00144972 3.70422866 3.70415782 3.50294103
 3.00766252 3.51394652 2.05554976 3.00144946 3.70422821 2.05581044
 3.5249544  3.51394629 2.05554977 3.71451512 2.05581044 3.52495463
 3.68531662 3.49957667 3.04296167 2.9988115  3.71451557 2.99881177
 3.56838942 2.07126834]"
13,"[3.71016751 3.05103684 3.53836217 3.65232984 3.02989096 3.53961763
 2.092515   2.05590397 3.52070515 3.50814477 3.56406491 2.05286236
 2.94922468 3.76781586 2.07560386 3.50997468 3.53836261 3.71016742
 3.05103688 2.09251516 3.52070492 3.71150798 2.96484877 3.76781601
 2.05590385 2.94922465]"
14,"[3.70912635 3.51328853 3.57384834 2.07386625 2.96484868 2.96484877
 2.9648485  3.71054821 2.08101594 3.51734131 3.51328889 2.07386641
 3.71054776 3.70912624 2.08101592 3.51734153 3.51328866 2.07386642
 3.00766233 3.70912669 3.0076626  2.08101589 3.59624622 3.00766252
 3.71054792 3.51734112]"
15,"[2.05286219 3.56406458 2.94922465 3.76781629 3.65232985 3.50814459
 3.52070541 2.05590397 2.94922438 3.76781583 3.53836253 2.09251514
 3.52070517 2.05590397 3.53836276 3.7101674  2.09251513 3.71150798
 3.50997454 2.96484868 3.05103657 3.71016785 3.05103684 3.0298909
 3.53961736 2.07560373]"
