,length
0,[2.63353532 2.56957429 2.63353532 2.61835681 2.61835681 2.61524479]
1,[2.63353532 2.63353532 2.56957429 2.61835681 2.61524479 2.61835681]
2,[2.61835681 2.61524479 2.61835681 2.63353532 2.63353532 2.56957429]
3,[2.61835681 2.61835681 2.61524479 2.63353532 2.56957429 2.63353532]
4,[2.57013081 2.61282263 2.60929436 2.60929436 2.61282263 2.57013081]
5,[2.60929436 2.61282263 2.57013081 2.57013081 2.61282263 2.60929436]
6,[2.60929436 2.57013081 2.61282263 2.61282263 2.57013081 2.60929436]
7,[2.61282263 2.57013081 2.60929436 2.60929436 2.57013081 2.61282263]
