,length
0,[1.95223863 1.99026296 1.99026296 1.95223863]
1,[1.99026296 1.95223863 1.95223863 1.99026296]
2,[1.95223863 1.99026296 1.99026296 1.95223863]
3,[1.99026296 1.95223863 1.95223863 1.99026296]
4,[1.98314503 1.98314503 1.96636148 1.96636148]
5,[1.96636148 1.96636148 1.98314503 1.98314503]
