,length
0,"[2.33229507 2.29225987 2.27939371 2.42004982 2.43339477 2.28582377
 2.54324414]"
1,"[2.42004982 2.43339477 2.33229507 2.29225987 2.28582377 2.54324414
 2.27939371]"
2,"[2.54324414 2.28582377 2.27939371 2.43339477 2.42004982 2.29225987
 2.33229507]"
3,"[2.43339477 2.42004982 2.54324414 2.28582377 2.29225987 2.33229507
 2.27939371]"
4,"[2.27939371 2.29225987 2.33229507 2.54324414 2.28582377 2.43339477
 2.42004982]"
5,"[2.29225987 2.33229507 2.42004982 2.43339477 2.27939371 2.54324414
 2.28582377]"
6,"[2.27939371 2.28582377 2.54324414 2.33229507 2.29225987 2.42004982
 2.43339477]"
7,"[2.28582377 2.54324414 2.43339477 2.42004982 2.27939371 2.33229507
 2.29225987]"
