,length
0,[1.65801586 2.01072162 1.97595845 1.95492643 1.9901944 ]
1,[1.65801586 1.9901944  1.95492643 2.01072162 1.97595845]
2,[1.9901944  1.95492643 2.01072162 1.97595845 1.65801586]
3,[1.97595845 2.01072162 1.95492643 1.9901944  1.65801586]
4,[1.65853871 1.99137205 2.00523626 1.97478801 1.9573354 ]
5,[1.65853871 1.9573354  2.00523626 1.97478801 1.99137205]
6,[1.9573354  1.97478801 2.00523626 1.99137205 1.65853871]
7,[1.99137205 1.97478801 2.00523626 1.9573354  1.65853871]
8,[1.64389317 1.91220877 1.90320205 2.04110091 1.77677972]
9,[1.64389317 1.77677972 2.04110091 1.90320205 1.91220877]
10,[1.77677972 2.04110091 1.90320205 1.91220877 1.64389317]
11,[1.91220877 1.90320205 2.04110091 1.77677972 1.64389317]
12,[1.90876994 1.77520671 1.90388727 2.03318842 1.64533539]
13,[2.03318842 1.90388727 1.77520671 1.90876994 1.64533539]
14,[1.64533539 2.03318842 1.90388727 1.77520671 1.90876994]
15,[1.64533539 1.90876994 1.77520671 1.90388727 2.03318842]
