,length
0,[1.89771347 1.86693711 1.87965608 1.8013889 ]
1,[1.8927475  1.82390649 1.88145092 1.87775663]
2,[1.87965608 1.8013889  1.89771347 1.86693711]
3,[1.87775663 1.8927475  1.82390649 1.88145092]
