,length
0,[1.97047454 1.97047454 2.34176941 1.94159802 1.94159802]
1,[1.94160277 1.94160277 1.97046958 2.3417633  1.97046958]
2,[1.97046958 2.3417633  1.97046958 1.94160277 1.94160277]
3,[1.94159779 1.94159779 1.97047495 1.97047495 2.34176999]
