,length
0,"[2.37070234 2.37070234 2.37290778 2.84423829 2.37371305 2.37208028
 2.37208028 2.83132071]"
1,"[2.37290778 2.37070234 2.37070234 2.84423829 2.37208028 2.37208028
 2.37371305 2.83132071]"
2,"[2.37371305 2.37208028 2.37208028 2.83132071 2.37070234 2.37070234
 2.37290778 2.84423829]"
3,"[2.37208028 2.37208028 2.37371305 2.83132071 2.37290778 2.37070234
 2.37070234 2.84423829]"
