,length
0,[2.24528581 2.27720849 2.24528581 2.27651324]
1,[2.24528581 2.27720849 2.27651324 2.24528581]
2,[2.24528581 2.24528581 2.27651324 2.27720849]
3,[2.24528581 2.27651324 2.24528581 2.27720849]
