,length
0,[1.98871985 1.9554755  1.93740972 2.05747403]
1,[2.0322127  2.03370881 2.03562039 2.20147726 2.05496078]
2,"[3.20775166 2.21373637 3.07418634 2.88699198 1.98988248 2.86270482
 2.01425827 2.71060153 2.68581425 2.17295582 3.02615304 2.43414696
 2.94693095]"
3,[1.97706919 2.04060576 2.00420879 2.00736652]
4,[2.05305105 2.03163692 2.03646807]
5,[2.0043751  1.94814819 1.9406264  2.21357622]
6,[2.17524542 2.00379659 2.07812527 1.98637457]
7,[1.99798857 1.96280122 2.10071283 2.00894603]
8,[2.08916272 2.12744897 2.01671058 1.98945938 2.34170413]
9,[1.88487647 1.84929991 1.87320628]
10,[1.91053305 1.8895786  1.99793785 2.00551331]
11,[2.01532602 2.06160014 2.0751216  1.92870934]
12,"[1.92027811 2.82491256 2.29239176 2.99203086 3.10034926 3.25974339
 3.48450187 3.37568289 3.29425327 2.02043596 2.7905708  1.99597553
 3.25291168 2.50038922 3.49827155 2.98410774]"
13,[2.01042267 1.94950221 1.9611844 ]
14,[1.8804368  1.92439289 1.90108263]
15,[1.83829864 1.97619414 2.22890251]
16,[1.99045705 2.07769533 1.95898895 1.9977995 ]
17,[2.31935826 1.90082355 1.99331377 1.99257934]
18,[1.85920118 1.98069762 1.81657851 1.87284295]
19,[2.08707179 2.00851859 2.01781447 1.96698515]
20,[1.97554608 2.13570271 2.01112607 1.92130084]
21,[2.03825188 2.06225953 1.97891799 2.19046433]
22,[2.14979465 1.88585782 1.99834782 1.98905153]
23,[1.9193097  1.81821922 1.89074429]
24,[1.96849768 1.92625575 1.96983446]
25,[1.9211263  2.26060407 2.07333356 1.96157194]
26,[2.0081709  1.88259014 1.91301   ]
27,[1.91079059 1.83991117 1.92252086]
28,[1.91935963 1.83670217 1.90844405]
29,[2.02233181 1.91575366 2.01404671 1.97992042]
30,[1.89984421 1.92688268 1.86994525 1.99505527]
31,[2.04783134 1.90404215 1.93083779]
32,[1.94002822 1.88895181 1.97417256]
33,[1.98963326 1.99925723 2.01363289 2.08808002]
34,[1.90085719 2.01018422 2.00228125 1.98654076]
35,[1.98489273 1.99632752 1.85763629 2.03513084]
36,[1.99466914 2.06306694 2.04005352 2.0697563 ]
37,[1.977843   1.88860366 1.84689316]
38,[1.99587833 1.96397929 1.93321779 1.99958855]
39,[1.88672396 2.04229222 1.95183721]
