,length
0,[1.96291169 1.96324239 1.96467233 2.08247655 2.00244716]
1,[1.92920087 1.88094818 1.89262779]
2,[1.97836959 2.3610512  1.9735988  1.92338481]
3,[2.04716724 1.97129754]
4,[1.92787012 2.00247754 2.11125948 2.01322335]
5,[1.89336836 1.99161052 2.03840426 1.94387246]
6,[1.82197071 2.01383731 1.88245666 1.93957276]
7,[1.83081806 1.79342745 1.95785973]
8,[2.14220667 1.95312816 2.15735116 2.17121328 1.99493337]
9,[2.27072268 2.13372605 2.09704885 2.03806379 2.05665129]
10,[1.91732325 2.01535092 2.28535308 1.99885805]
11,[1.93108285 1.83327461 1.96626565 1.95478894]
12,[1.95350798 1.88142475 1.85386035]
13,[2.06460246 2.04723741 1.95817047 1.94790653]
14,[2.01973383 2.05685507 2.04719192 1.97362607]
15,[1.96401454 2.06465511 2.04099199 1.97475498]
16,[1.85790153 1.8564918  1.85474228 1.88868673]
17,[2.18238815 2.18292806 2.04890287 2.15563257 1.9768694 ]
18,[1.94326877 1.94418649 2.10891859 1.99879762]
19,[1.93295324 2.05951675 1.98621181 2.02099855]
20,[2.16495706 2.01158651 1.89436318 2.02883384]
21,[1.97554403 1.95247996 2.02419893]
22,[2.03796899 1.94390723 2.00146995 2.06708101]
23,[1.95098032 1.98961955]
24,[1.91936226 1.99242995 2.19008476 1.94807227]
25,[2.03676515 1.80151517 2.03270717 1.89190011]
26,"[2.96129164 3.61748325 3.49624365 2.09690364 3.72456933 3.08419295
 2.01880898 3.64869509 3.55879848 2.57231618 3.1761533  1.93326373
 2.89309004 3.42096386 3.53708425 3.35100883 3.54512605 3.68648068
 3.14694772 2.13043964 3.48510228 3.70155237 3.62847811]"
27,[1.90709696 1.8757417 ]
28,[1.9865095  2.07455482 2.01559719 1.95249298]
29,[1.97927961 2.06066103 2.01267386 2.01063275]
30,[2.06245666 1.97989288 2.12615858 1.87645439]
31,[2.10485444 1.94971397 2.01299127 1.96018789]
32,[1.96413554 1.86420547 2.00337432]
33,[2.02324811 2.05288151 2.01029275 2.22038829]
34,[2.19273707 2.03513918 2.04954475 2.05222552]
35,[1.90087227 1.82327023 1.93809612]
36,[2.01813266 1.91817766 2.01994588 1.94929356]
37,[2.07749042 2.04424567 2.004575   2.05143285]
38,[1.88101525 1.84832446 1.9187042 ]
