,length
0,[1.85387869 2.08537742 2.02198237 1.97301398]
1,[1.85702576 1.839517  ]
2,[1.84772991 1.82129839 1.94020872]
3,[2.03910362 1.95788966 1.93565223 2.10537442]
4,"[2.69424776 2.43869413 2.904126   2.27138553 2.68177227 1.99493359
 2.00222896 2.06933518 2.81783422 3.01774684 2.6883731 ]"
5,[2.63868375 2.10643744 1.92621223 2.58852679 2.00741963]
6,[1.88370141 1.91576452 1.93590621]
7,[2.03491002 1.96017501 2.0159589  1.97740401]
8,[1.82067805 1.89393224]
9,[2.07969707 2.11997943 2.07949248 1.91076894]
10,[2.18000063 1.9193085  1.90271146 2.11883708]
11,[1.91711953 1.91918887 1.96466726]
12,[1.9495078  1.90554986 1.98562244]
13,[2.00820783 2.01789088 2.03954792 1.93166411]
14,[1.96300586 2.10730938 2.00366957 2.08471424]
15,[2.04046001 2.0132669  1.97535151 2.00015635]
16,[2.01360824 1.93407331 2.03527556 2.03168572]
17,[2.0262907  2.05589466 2.00296895 2.12622251]
18,[1.92540045 2.03292346 1.97661386 2.02184063]
19,[2.03522988 1.96660098 2.15767103 1.97838525]
20,[1.88161645 1.87572662 1.84434187]
21,[2.02686111 1.96911329 1.92367262 2.04001827]
22,[2.01800999 2.02321759 2.05054392 2.02381556]
23,[1.91238931 2.25047502 2.04567474 2.604463   1.92087932]
24,[1.97173307 2.09206622 1.9841994  1.953762  ]
25,[2.02997811 1.99278783 1.95606699]
26,[1.97037181 1.8395578  1.86637874]
27,[1.91125323 1.93088087 2.07681128 2.0302226 ]
28,[1.92898153 1.96123264 1.78285045 1.94935233]
29,[2.03933129 1.92649107 1.98554042 1.94250179]
30,[1.87882783 1.91717925 1.82334252]
31,[2.15011736 2.16461442 2.08484967 2.05176213]
32,[2.35572265 2.10635806 2.04947661 2.12396048 2.08611536]
33,[2.04228347 1.97036384 2.08815081 1.94298387]
34,[2.07435005 1.89925833 2.12786954 1.96598354]
35,[1.97361198 2.05851754 1.96964212 2.24866438]
36,[2.14810101 2.12804549 1.99920803 1.93145862]
37,[1.99241862 1.91443757 1.95945785 1.99392161]
38,[2.13091346 1.96850838 2.07832699 1.99362294]
39,[2.03567686 1.99371612 2.05037953 2.01703364]
