,length
0,[2.52599752 2.57261619 2.59263091 2.54918865 2.63768799 2.50007918]
1,[2.54918865 2.63768799 2.50007918 2.52599752 2.57261619 2.59263091]
2,[2.59263091 2.57261619 2.52599752 2.50007918 2.63768799 2.54918865]
3,[2.50007918 2.63768799 2.54918865 2.59263091 2.57261619 2.52599752]
