,length
0,[2.04162194 1.7825963  1.74100939 1.80004503 1.85254063]
1,[1.80431253 1.85277438 1.72972901 1.81279475]
2,[1.76665214 1.78355549 1.81103256 1.84378354]
3,[1.73293598 1.8383222  1.89731946 1.74317673]
4,[2.01116846 1.76767108 1.77513939 1.78732138 1.93619432]
5,[1.81367396 1.85235539 1.8065969  1.82424879]
6,[1.7590773  1.74239885 1.75228396 1.815955  ]
7,[1.8116598  1.7086775  1.78896106 1.84926624]
8,[1.73914645 2.02867394 1.83486763 2.09474595 1.80275917]
9,[1.94087967 1.86257965 1.83368868 1.85915665 1.98353406]
10,[1.81659717 1.84532864 1.75594975 1.76894662]
11,[1.88378838 1.8240422  1.98432986 1.84999014 1.84090686]
12,[1.79704669 1.84824607 1.81692361 1.68683817]
13,[1.829712   1.88050149 1.83902783 2.0308387  1.86246032]
14,[1.77308035 1.85599852 1.78136796 1.87964734]
15,[1.80811098 1.72990274 1.87672237 1.91087043]
16,[1.70690753 1.75090697 1.85175943 1.83832485]
17,[1.86913799 1.80999031 1.84092651 1.76529427]
18,[1.72664968 1.81913223 1.80658234 1.75806585]
19,[1.75754071 1.79999539 1.79033351 1.85025124]
20,[1.84861831 1.83492193 1.76433248 1.85063091]
21,[1.95879002 1.90514935 1.89742439 1.7814485  1.8051616 ]
22,[1.75932488 1.76049801 1.86493783 1.71323638]
23,[1.84982479 1.89240741 1.83399649 1.74419364]
24,[1.82320644 1.83932425 1.81080736 1.83407227]
25,[1.9525172  1.89349526 1.80698636 1.83074919 2.08014475]
26,[1.8191165  1.7781795  1.79859    1.80789501]
27,[1.87478647 1.75674637 1.7759283  1.72922101]
28,[1.79700289 1.84124162 2.15847437 1.80477881 1.80959177]
29,[1.87658771 2.03912257 1.91442674 1.89818672 1.88468066 2.07388607]
30,[1.74279295 1.75134489 1.82692879 1.73440131]
31,[1.82376245 2.10634395 1.79515481 1.85120487 1.9664044 ]
32,[2.02117122 1.93956294 1.7579872  1.8240766  1.8735034 ]
33,[1.8724516  1.86701296 2.04200668 1.9489008  1.97719701 1.96098361]
34,[1.80070835 1.72016059 1.86072456 1.83521997]
35,[1.80697044 1.83494818 1.70005063 1.75993144]
36,[1.86450401 2.28188232 1.76844814 1.82215141 1.88377692]
37,[1.72663435 1.77812725 1.81185128 1.84336744]
38,[2.00401872 2.00668478 1.98233518 1.81509937 1.8502065 ]
39,[1.77721729 1.81409618 1.88555367 2.02656117 1.98084361]
