,length
0,[1.80695916 1.79343777 2.03863492 1.89446973 1.8280788 ]
1,[1.81592499 1.88353903 1.71943108 1.85242457]
2,[1.79605639 1.92569623 2.25230078 1.85580713 1.76974077]
3,[1.8443071  1.80555555 1.78445822 1.84232536]
4,[1.71402414 1.81125084 1.80482277 1.78755863]
5,[1.85245901 1.76355197 1.80221106 1.84803032]
6,[1.75143381 1.83735409 1.82773676 1.78653245]
7,[1.81865239 1.70078448 1.88967353 1.84590252]
8,[1.86059223 1.70705642 1.82135093 1.78624033]
9,[1.90361429 1.81459563 1.89537775 1.79278766 1.85081541]
10,[1.85623075 1.85362435 1.77855905 1.86018932]
11,[1.76421216 1.78348402 1.69999891 1.80580363]
12,[1.97485599 1.81781461 1.74082102 1.96107448 1.84797939]
13,[1.85324201 2.00147913 1.88441145 1.76839919 1.8548595 ]
14,[1.78215229 1.84378839 1.79886343 1.75046659]
15,[1.75193012 1.78731618 1.80103001 1.78754986]
16,[1.87549787 1.7790111  1.92288157 1.8672332  1.84275249]
17,[1.9264729  2.03701411 1.84601299 1.85153605 2.02009487]
18,[1.92806663 1.90841663 1.85605837 1.89375541 2.08486808]
19,[1.88082775 1.88573551 1.82833076 2.00234159 1.82638406]
20,[1.77344505 1.81842995 1.77907482 1.81915456]
21,[1.72621006 1.73083292 1.77744308 1.794886  ]
22,[1.80468054 1.7444561  1.78718466 1.80344168]
23,[1.75239687 1.80849075 1.87893113 1.79192759]
24,[1.79083299 1.88115165 1.80592706 1.76685482]
25,[1.81880187 1.73897399 1.93103475 1.82712438]
26,[1.83529902 1.72313275 1.90010669 1.7341715 ]
27,[1.86203402 1.76874771 1.75904923 1.79072547]
28,[1.88338713 2.00339691 2.17170222 1.81171596 1.96081315 1.95717379]
29,[1.95815179 1.94956805 1.71841202 1.80646458 1.94959273]
30,[1.80162931 1.68380412 1.70543361]
31,[1.76513361 1.86231885 1.82578055 1.70915405]
32,[1.86735036 1.76957651 1.80969914 1.7927226 ]
33,[1.79991879 1.90028137 1.88463878 1.78897331]
34,[1.74234099 1.7632951  1.81801983 1.75740268]
35,[1.79850887 1.92610508 1.81674781 1.87384728]
36,[1.74156994 1.81295222 1.71616958 1.84461236]
37,[1.8631447  1.78722821 2.10900404 1.81044061 1.85734455]
38,[1.86675932 1.70459511 1.90244317 1.98528579 1.86338665]
39,[1.77033404 1.75191666 1.83571526 1.84967469]
