,length
0,[1.80408337 1.73880014 1.7923478  1.76759357]
1,[1.85970453 1.95780479 1.84712559 1.92951523 1.79950339]
2,[2.07515603 1.88569531 1.99859889 1.7855466  1.97769779]
3,[1.87942622 1.83065593 1.79047812 1.83011588 1.9470633 ]
4,[1.98752881 1.9494647  1.89110778 1.96584178 1.79271208 1.95249512]
5,[2.24154378 1.83035427 1.77504965 1.81072711 1.9131414 ]
6,[1.84533823 2.07144682 1.83499678 1.80353587 1.82089599]
7,[1.90465236 1.99965527 1.91042033 1.95560083 1.74046934]
8,[1.80804897 1.8988002  1.75116923 1.78097224]
9,[1.80160515 2.11903945 1.76476333 1.87062319 1.84320419]
10,[1.75663342 1.80487711 1.73541785 1.72369032]
11,[1.7640371  1.85379491 1.76630451 1.85349949]
12,[1.79662572 1.83818589 1.81176202 1.80788208]
13,[1.81589775 1.74098221 1.76607879 1.79261665]
14,[1.75788959 1.96983924 1.92047645 1.83620613 1.81430927]
15,[1.83357906 1.79981179 1.83160949 1.7201031 ]
16,[1.91527589 2.03226267 1.83772278 1.81468206 1.86458026]
17,[1.75416805 1.77400283 1.80254965 1.82515717]
18,[1.89388844 1.77814247 1.8295049  1.83127992 2.10668554]
19,[1.79090402 1.81547304 1.76455907 1.73669441]
20,[1.81385451 1.79169619 1.77430685 1.77490224]
21,[1.7624314  2.07715064 1.93758121 1.79860197 1.85909738]
22,[1.72609714 1.81341751 1.7489717  1.79637721]
23,[1.77800676 1.77104089 1.79478035 1.73392736]
24,[1.75469982 1.7753634  1.74675247 1.81997887]
25,[1.89918645 1.91991798 1.9606571  1.81509877 1.87028089]
26,[1.79869097 1.75708276 2.21831596 1.87378963 1.85099504]
27,[1.775179   1.77587853 1.78792255 1.76039579]
28,[1.81260201 1.86703451 1.84977525 1.89489156 1.90634221]
29,[1.89269619 1.86866056 1.75346681 1.7870877  2.22259137]
30,[2.18424824 1.86731132 1.82979134 1.87935061 1.82799237]
31,[1.80022396 2.39006937 1.84868359 1.86265876 1.7951344 ]
32,[1.82978711 1.96581785 1.87479504 1.8358063  1.8650218 ]
33,[1.67819338 1.79594538 1.83728536 1.88810965]
34,[1.84140477 1.91160707 1.88408713 1.87909934 1.77883296]
35,[1.93306586 1.93076295 1.87723392 2.18576604 1.93361825 1.94271389]
36,[1.86515154 2.09207567 1.80293213 1.87677897 1.77349562]
37,[1.92090545 1.84055662 1.94741088 1.90511878 1.86344123]
38,[1.80165501 1.85004492 1.89047468 1.85620449]
39,[1.8067578  1.86686472 1.8474649  1.82364004]
