,length
0,[1.73581574 1.76681009 1.80025975 1.8536849 ]
1,[2.00313943 1.71336865 1.85790536 1.95801918 1.82104878]
2,[1.8422405  1.88715579 1.90701513 2.40031676 1.84520363]
3,[1.76832063 1.81249314 1.79859676]
4,[1.91099614 2.38029463 1.82201397 1.97067287 1.80301524]
5,[1.82850713 1.84566479 1.81638658]
6,[1.74179574 1.80618677 1.73837029 1.78465123]
7,[1.79396958 1.7608407  1.90466694 1.78276141]
8,[1.72141387 2.03735006 1.78589226 1.7932726  1.89774261]
9,[1.8745681  1.82120993 1.80823084 2.23803098 1.81278179]
10,[1.83952193 1.81829567 1.83466573 1.72542195]
11,[1.91594572 1.8406411  1.85704623 1.79640074]
12,[1.82191666 1.75204229 1.77053151 1.77577156]
13,[1.95743404 1.95847969 1.89532446 1.98708265 1.78630685]
14,[1.81187124 1.77564549 1.86611128 1.8064783 ]
15,[1.94777443 1.9079577  1.89921661 1.80905841 1.84489769]
16,[1.94070994 1.9097833  1.81467716 1.84434683 1.9866018 ]
17,[2.02575193 1.84291058 1.8575163  1.9113594  1.98058373]
18,[1.82847095 1.96041986 1.83820138 1.81401744 1.89279748]
19,[2.04501377 1.78053621 1.8017094  1.82400429 1.96343417]
20,[1.77509752 1.87479795 1.79936703 1.80303535]
21,[1.78458385 1.78186621 1.79708613 1.8821496 ]
22,[1.93496051 1.86199442 1.85497958 1.75371748 1.88629653]
23,[1.87194112 1.98346538 1.88383755 1.82175827 1.82249778]
24,[1.9489778  1.96493015 1.84123066 1.80853123 1.87637165]
25,[1.93164339 2.0699051  1.718163   1.85354774 2.00595892]
26,[2.0382378  1.77763333 1.84057973 1.71674911]
27,[1.83389812 1.92679419 1.93071999 1.9088415  1.83240963]
28,[1.94141777 1.92639668 2.07971841 1.85899461 1.92386426]
29,[1.81164799 1.90871069 1.97722308 1.86669032 1.80965179]
30,[1.74321634 1.8299319  1.91182184 1.79950749 1.94665343]
31,[2.04910259 1.80326685 1.8296478  1.83875022 1.9024001 ]
32,[1.89239242 2.06600448 1.78362697 1.96676845 1.72239665]
33,[1.89816424 1.9506897  1.74907846 1.79289984 1.877292  ]
34,[1.72140647 1.81647862 1.88185387 1.78577868]
35,[1.73877106 1.71933467 1.75144621 1.81163425]
36,[1.82602672 1.73738765 1.76066197 1.77618967]
37,[1.86186378 1.90794908 2.00106648 2.037868   1.89375123]
38,[1.84648336 1.82026717 1.98907018 1.92032746 1.85630055]
39,[1.75543568 1.69960797 1.91171809 1.78889297]
