,length
0,[1.7968024  1.79680217 1.75327459 1.79709199]
1,[1.79751252 1.75909079 1.79761649 1.79761671]
2,[1.81330707 1.81330684 1.74520783 1.81261176]
3,[2.19214268 1.79112686 2.18898678 1.79112692 2.18898681 1.79085151]
4,[1.81458245 2.13943043 1.81459146 2.1394304  1.81459141 2.14038778]
5,"[4.44448299 2.89850341 5.72201352 5.79700683 2.89850315 5.01958192
 5.7970063  4.03452922 3.42773477 4.03957177 4.49355044 5.80852501
 5.75860211 4.0395715  3.43262446 5.03287968 4.9751796  5.34968229
 5.81181304 5.75860146 5.34968192 5.81181271 5.7525716  5.31612947
 5.73923477 5.30683624 4.94356195 5.72201345 5.02190044 5.0219009
 5.34026807 4.96855188 2.89984181 3.42773464 5.80389774 5.79968362
 5.34486005 5.75641387 4.49354991 5.8085246  5.76149821 4.46490128
 5.31612922 5.73923419 5.75257153 3.38276007 5.30683637 4.94356181
 5.0219009  5.02190044 5.79968362 5.74798705 5.34026795 4.96855202
 2.89984181 5.3448603  5.75641445 5.80389781 5.76906612 5.7457995
 5.76906646 4.97853206 3.3950351  4.96035615 4.01505246 5.76149862
 4.46490182 5.74580016 3.3827602  4.01505273 4.00371347 5.33030028
 5.7970063  5.33030065 5.01958192 2.89850315 5.79700683 5.74798713
 2.89850341 4.48434832]"
6,[2.15627404 1.8071845  2.15505473 1.80718455 2.15505476 1.80702026]
7,[1.80041123 2.1727196  1.80059147 2.17271957 1.80059142 2.17368439]
8,[2.32142608 2.135729   2.13572906]
9,[1.80111855 2.22176195 1.79143505 2.22176193 1.79143499 2.12039957]
