,length
0,[1.96190749 1.78491398 1.88552693 1.88129443 1.86966493]
1,[1.83541736 1.96940626 1.98571479 1.93757759 1.77338479]
2,[1.74544453 1.99944178 1.7877976  2.07711611 1.91322069]
3,[1.79387286 1.87346951 1.85345339 1.83962896 1.807602  ]
4,[1.83908122 1.91580647 2.08820068 1.93179416 1.86918933]
5,[1.83616355 1.8389601  1.946708   1.89724476 1.82943741]
6,[2.01751476 2.20669645 1.8265625  1.83255654 1.94144658 1.96047632]
7,[1.76466625 1.80887872 1.81939536 1.8055525 ]
8,[1.91798036 1.9292697  1.77710302 1.80786627 1.81629693]
9,[1.79539921 1.91728183 1.81934799 1.97398432 1.81697301]
10,[1.86490906 1.78657472 1.8244337  1.96411074]
11,[1.97397106 2.03805329 1.86636145 1.89347959 1.84567402]
12,[1.84999662 1.81117453 1.8877698  2.11739588 1.83231181]
13,[1.76268341 1.75527053 1.74234979 1.81106732]
14,[1.80130044 1.8340254  1.86546638 1.79218547]
15,[1.93001149 2.03417924 1.77704635 1.77583735 1.89927256]
16,[1.94367856 1.90605256 2.26507368 1.83868606 1.94023378 1.88683299]
17,[1.76206537 1.82946281 1.84558273 1.84583062]
18,[1.79898686 1.87499768 1.92006181 1.86571711 1.91990138]
19,[1.81725555 1.8804292  1.7786715  1.80316307 2.01832152]
20,[1.76537705 1.78418203 1.70498042 1.72957822]
21,[1.78657207 1.8019045  1.87839648 1.79600364]
22,[1.8490944  1.78430998 1.95203657 1.93328261 1.87206107]
23,[1.86743651 2.02791453 1.83624149 2.03789531 1.81215866]
24,[1.88341277 1.87474298 2.09749456 1.92053109 1.72996871]
25,[1.71963877 1.8260928  1.86999484 1.82963806]
26,[1.90713518 1.69963636 1.79822504 1.80174784]
27,[2.05398991 2.16432806 1.72690825 1.73772128 1.78845685]
28,[1.83998749 1.96240048 1.7763308  1.85451845 1.78113902]
29,[1.93591483 1.83875317 1.8691551  1.89350608 2.08424528]
30,[1.84996099 1.80571129 1.87082619 1.84785677 2.19484709]
31,[2.25112111 1.75722422 1.82841892 1.93043512 1.8772649 ]
32,[1.9956669  1.81680459 1.77399933 1.81047172 1.8298542 ]
33,[1.88299559 1.90287364 1.81380749 1.89765315 2.10753646]
34,[1.96371106 1.92767064 1.94475801 1.82162957 1.90052903]
35,[2.03598689 1.94255663 2.03306666 1.79333978 1.95819036 1.98050035]
36,[1.81362628 2.00644579 1.9424094  2.09299637 1.89945222]
37,[2.0398953  1.90304657 2.12171092 1.94573231 1.92138958 1.90035154]
38,[2.0056328  1.90102632 2.14902687 2.04325087 1.82353626 1.96922415]
39,[1.89890318 1.8509291  1.80835501 1.80245534 1.77767841]
