,length
0,[1.87470544 1.95522634 1.80522098 1.87357374 1.95422872]
1,[1.80767749 1.83923516 1.79334623 1.89247787]
2,[1.91826962 1.8938321  1.93290004 1.89918785 1.81398378]
3,[1.91311072 1.90697455 1.96315049 1.9087294  1.97279015 2.05782069]
4,[1.84788929 1.7261736  1.79664856 1.80186676]
5,[1.79646494 2.04975879 1.95784187 1.80143452 1.79280827]
6,[1.8227236  1.96526101 1.80031956 1.74149607]
7,[1.94025168 1.86988821 1.93265553 1.93082113 1.86050129]
8,[1.77172695 1.73762477 1.85227176 1.78886079]
9,[1.76575733 1.78777579 1.83633274 1.79611215]
10,[1.90661314 1.86839437 1.85928011 1.91194565 1.81323518]
11,[1.78808556 2.12367095 1.8233559  1.86229179 1.85100119]
12,[1.76156801 1.72941002 1.82811311 1.78388061]
13,"[1.81472871 2.61556156 1.90768665 2.20447487 2.385191   2.64757137
 1.83754305 2.76571443 1.80798707]"
14,[1.76836393 1.92935468 1.77224327 1.74814422]
15,[1.80012498 1.76762613 1.72047383 1.88886169]
16,[1.82396045 1.83231078 1.77336436 1.76268613]
17,[1.83282848 1.7693799  1.82734911 1.79335776]
18,[1.75104969 1.78956333 1.75733295 1.8044376 ]
19,[1.91326387 1.86112102 1.77724588 1.89376463 1.84517098]
20,[1.87057696 2.06928368 1.84509921 1.8095533  1.98151311]
21,[1.73678239 1.83162778 1.77988592 1.76177604]
22,[1.84523884 1.76072608 1.76054278 1.75723922]
23,[1.91158845 1.84634744 1.90925403 1.85558711 1.83130775]
24,[1.84971945 1.85747594 1.84865804 1.73277386]
25,[1.73602398 1.82318398 1.82161279 1.73855482]
26,[1.84359877 2.081196   1.8933723  1.89596043 1.83620443]
27,[1.83791618 1.8348318  1.79529755 1.93810017 1.98083739]
28,[1.94448196 1.82666972 1.82702645 1.84877686 1.91087498]
29,[1.76600229 1.81625048 1.81750992 1.7138133 ]
30,[1.97188007 1.78874543 1.79936341 1.84413926 2.03812182]
31,[1.8799526  1.8130284  1.86414539 2.12757068 1.85172314]
32,[1.97694182 1.93200593 1.85339686 1.84026882 1.8209846 ]
33,[1.74146314 2.13584174 1.87290791 1.85764796 1.90110035]
34,[2.24399473 1.95643555 1.82555781 1.80307376 1.83199872]
35,[1.88780404 1.80089021 2.0370023  1.91452788 1.81184916]
36,[1.82793324 2.02125441 1.86864164 1.79349635 2.0055319 ]
37,[1.89246168 1.97990408 2.08992598 1.83448389 1.83637105]
38,[1.82147369 1.83642201 1.72116654 1.74996873]
39,[1.74268213 1.78956024 1.8911947  1.77082952]
