,length
0,[1.7038991  1.69061889 1.69401549]
1,[1.68465269 1.69929575 1.69245055]
2,[1.82429863 1.91106892 1.96517028 1.92878619 1.75805005]
3,[1.69504316 1.69376151 1.68468993]
4,[1.70236065 1.67299837 1.7345965 ]
5,[1.75917354 1.8389784  1.73605041 1.78923427]
6,[1.82339543 1.89940726 2.01950931 1.90120022 1.79020001]
7,[1.79546389 1.8974592  2.02899351 1.76571368 1.87255241]
8,[1.7765506  1.85001608 1.77660577 1.7772694 ]
9,[1.74909483 1.84990126 1.76537998 1.77555618]
10,[1.81332595 1.82841922 1.82371331 1.75726527]
11,[1.77962964 1.73457425 1.72499833 1.79095609]
