,angle
0,88.26715183058498
1,83.9911518638383
2,93.53725000855931
3,106.4009116057575
4,159.1837053726383
5,82.02668932055137
6,107.67792882585339
7,159.85468970971144
8,79.00067346769185
9,169.9543570015223
10,85.797057829218
11,78.02522141767271
12,85.56905841020672
13,105.9401629167263
14,82.81992230954633
15,82.02668932055137
16,83.9911518638383
17,78.02522141767273
18,85.79705782921802
19,169.9543570015223
20,88.26715183058498
21,79.00067346769184
22,159.85468970971144
23,107.67792882585337
24,159.1837053726383
25,106.4009116057575
26,93.53725000855931
27,82.81992230954634
28,105.94016291672628
29,85.56905841020672
30,85.56905841020672
31,82.81992230954634
32,106.40091160575749
33,85.79705782921802
34,159.85468970971147
35,105.9401629167263
36,93.53725000855928
37,169.95435700152223
38,107.67792882585336
39,159.18370537263831
40,78.02522141767274
41,79.00067346769188
42,83.9911518638383
43,88.26715183058496
44,82.02668932055138
45,105.94016291672628
46,82.81992230954633
47,79.00067346769185
48,78.02522141767274
49,159.1837053726383
50,85.56905841020674
51,107.67792882585336
52,169.95435700152223
53,93.53725000855931
54,159.85468970971144
55,85.79705782921802
56,106.4009116057575
57,82.02668932055137
58,88.26715183058496
59,83.99115186383828
60,82.81992230954634
61,105.94016291672631
62,78.02522141767273
63,79.00067346769185
64,159.18370537263823
65,85.56905841020675
66,85.79705782921802
67,159.85468970971144
68,106.4009116057575
69,169.95435700152223
70,107.67792882585336
71,93.53725000855928
72,82.02668932055137
73,83.99115186383828
74,88.26715183058496
75,85.56905841020674
76,105.94016291672632
77,93.53725000855928
78,107.67792882585339
79,169.95435700152223
80,82.81992230954634
81,106.40091160575747
82,159.85468970971147
83,85.79705782921799
84,159.18370537263826
85,79.00067346769185
86,78.02522141767273
87,88.26715183058498
88,83.99115186383828
89,82.02668932055137
90,82.02668932055137
91,88.26715183058496
92,79.00067346769184
93,107.67792882585336
94,159.85468970971147
95,83.99115186383828
96,78.02522141767273
97,169.95435700152223
98,85.79705782921802
99,159.1837053726383
100,93.53725000855928
101,106.40091160575749
102,105.94016291672631
103,82.81992230954636
104,85.56905841020675
105,83.9911518638383
106,88.26715183058496
107,106.4009116057575
108,93.53725000855927
109,159.1837053726383
110,82.02668932055138
111,85.79705782921802
112,169.9543570015223
113,78.02522141767273
114,159.85468970971147
115,107.67792882585334
116,79.00067346769185
117,85.56905841020675
118,82.81992230954636
119,105.94016291672631
