,length
0,[1.87034426 1.77987854 1.75747288 1.81077507]
1,[1.83756627 1.8634964  1.87965229 1.97921369 1.84866583]
2,[1.85314326 1.74098193 1.74823377 1.77656599]
3,[1.84933841 1.91342259 2.00197092 2.25407313 2.01055408 1.91120762]
4,[1.80399486 1.82465183 1.77866935 1.79261361]
5,[1.89022065 1.94149373 1.96027924 2.06556197 1.94068553 1.79782964]
6,[1.77245013 1.73042565 1.75137694 1.86861795]
7,[1.72930363 1.86308318 1.79418826 1.81678386]
8,[1.77898303 1.87142955 1.80308535 1.79983287]
9,[1.89909035 2.11968316 1.85792926 1.80333405 1.77066051]
10,[1.72442435 1.87520134 1.78848395 1.76207916]
11,[1.92933061 1.87326291 1.82291276 2.02479209 1.8915974 ]
12,[1.84546481 1.78511222 1.8327651  1.85009901]
13,[1.91153358 1.87325407 1.94644036 1.98275204 1.83064931]
14,[1.77426306 1.75495708 1.76406288 1.76153251]
15,[1.86451098 1.79779987 1.82584117 1.72151792]
16,[1.74091919 1.82570782 1.75848728 1.85049172]
17,[1.81407646 1.7641333  1.82507867 1.78485798]
18,[1.76471972 1.81640285 1.74393463 1.77489629]
19,[1.82030105 1.87708059 1.84263514 1.87711038 2.05133328]
20,[1.853858   1.95473057 1.7493734  1.91381591 1.90804169]
21,[1.99113895 1.77344299 1.92865758 1.87337583 1.89718316]
22,[1.74219429 2.05232105 1.84892043 2.04466551 1.78801498]
23,[1.95564972 1.90112213 1.83023127 1.83122647 1.93575595]
24,[1.78389049 1.81332755 1.83087992 1.85638012]
25,[1.79662008 2.05945409 1.95147341 1.8286684  1.77199824]
26,[1.93297615 1.85586296 1.84115954 1.82434258 1.86819829]
27,[1.68591231 1.77397192 1.8427253  1.80689031]
28,[1.90268512 1.83848216 1.78838116 1.81289697 2.00205191]
29,[1.79782128 1.87292992 1.77613353 1.78731456]
30,[1.81474161 1.91866333 1.90991841 1.87305269 1.87445757]
31,[1.7390497  1.83107725 1.71898634 1.77493166]
32,[2.01648535 1.83905465 1.74887359 1.80017553 2.07119914]
33,[1.82673386 1.86653023 1.90713752 1.72149038]
34,[1.8995934  1.81388859 1.85335896 1.88813152 1.87526303]
35,[2.22741221 1.76762214 1.81617594 1.92394559 1.89107577]
36,[1.80627954 1.89878702 1.90381123 1.85242469 1.85587113]
37,[1.8718622  1.80834398 2.05859859 1.9361939  1.83085564]
38,[1.79314475 1.83374191 1.80759414 1.70579807]
39,[1.77739824 1.81175616 1.78008036 1.76143399]
