,length
0,[1.85244012 1.93278039 2.23665166 1.94014262 1.83543083 1.81615608]
1,"[4.44638698 3.71346944 4.94168134 4.10575087 3.5266791  3.24804024
 4.74343963 4.19496705 4.77149827 1.91572122 4.01336525 4.32528761
 4.12068089 3.17921695 3.27843614 4.45441236 1.79897979 4.54647677
 4.91515218 3.41221523 4.57556445 4.9824798  3.28299551 4.58427227
 1.92414095 2.91412996 5.00372321 2.15394684 2.39301501 4.21754316
 3.39114294 4.09551443 4.95601081 2.65506121 4.39346046 4.2839983
 1.8017148  4.2914147  4.09419245 4.76990837 3.31039019 3.8239485
 3.66398558 4.33027197 4.27126461 3.34180583 4.84038545 2.8539023
 4.32850025 4.9326857  4.31518953 4.24379679 4.80228788 3.09312171]"
2,[1.8191004  1.87656947 1.74382138 1.83772398]
3,[1.76875389 1.77362483 1.82937394 1.756921  ]
4,[1.90310488 2.21281705 1.92392807 1.8523474  1.82469021 2.04727524]
5,[1.82166738 2.11503365 1.75520239 2.39173861 1.96676758 1.74622186]
6,[1.94807945 1.83415389 1.85240039 1.91005759 1.86978661]
7,[1.97416674 1.84855357 1.81587288 1.76737338 2.14605215]
8,[1.79908844 1.8132413  2.03315945 1.83143646 1.85227818]
9,[1.83879589 1.83209085 1.80683526 1.81652897]
10,[1.93494009 1.82472134 1.79058135 1.78009906 2.37087021]
11,[1.80626316 1.96510805 1.86416689 1.80605318 1.88045061]
12,[1.78336643 1.78419027 1.81979121 1.78360944]
13,[1.7824658  1.82476244 2.23503217 1.86056438 1.88154223]
14,[1.84540937 1.7948686  1.74841841 1.8150477 ]
15,[1.70243729 1.80679844 1.80701769 1.72551717]
16,[2.00308535 2.00215159 1.83462841 1.84179102 1.89474547]
17,[1.7744158  1.84595389 1.94019542 1.80492639 1.77878839]
18,[1.93550119 1.78762673 1.89680747 1.95255272 1.96187081]
19,[1.797984   1.9039727  1.76952732 1.79406056]
20,[1.8551519  2.4341726  2.11330832 2.05100126 1.82197752 1.82339859]
21,[1.71685897 1.78946083 1.76522191 1.80117974]
22,[1.75410373 1.77216543 1.96144883 1.74925217]
23,[1.73815952 1.71697327 1.72201087 1.82482156]
24,[1.72743891 1.8260824  1.8468315  2.00474953]
25,[1.91666393 1.77042161 1.81536793 1.75722923 2.05967451]
26,[1.82245669 1.80533042 1.82500612 1.71433848]
27,[1.90415459 1.82747266 1.80902737 1.74444894]
28,[1.83692988 2.06623252 1.88479192 2.00610203 1.82709608]
29,[1.83696787 1.83714912 1.7899016  2.0852538  1.89150205]
30,[1.96043188 1.86847548 1.91301412 1.84575503 1.76950298]
31,[1.86278533 1.94586394 1.73615    1.80721371]
32,[1.90808819 1.80022213 1.84169789 1.90802332 1.93787416]
33,[1.71530093 1.75301305 1.82511729 1.79291883]
34,[1.73776641 1.9136112  2.0112939  1.82121532 1.79245136]
35,[1.8408328  1.73477363 1.7822875  1.83152534]
36,[1.9144655  1.91168658 1.91745385 1.87845892 1.87390963]
37,[2.0340172  1.82138155 1.80300775 1.84701731 1.88766228]
38,[1.87436889 1.92339114 1.86208863 2.07820597 2.10497289 2.00012512]
39,[2.06295387 1.89865714 2.00092466 1.91488018 2.10800099 1.99053711]
