,length
0,[1.83746655 1.90566217 1.73058521 1.76509499]
1,[1.90507432 2.00420963 1.79680209 1.88345863 1.75917058]
2,[1.78072236 1.83318174 1.83543911 1.76909424]
3,[1.78841397 2.02293719 1.97895257 1.81520071 1.86419502]
4,[1.77403905 1.69785228 1.80471851 1.84013111]
5,[1.92568643 1.83601754 1.96071517 1.81281058 1.82559011]
6,[1.80855651 1.8758141  2.01072651 1.87985323 2.35872645 2.05116613]
7,[1.90375845 1.81446684 1.77145362 1.81821896]
8,[1.7856858  1.79823654 1.82032617 1.83063189]
9,[1.71390495 1.98182922 1.81896137 1.87523135 2.16514593]
10,[1.78034796 1.78642944 1.80120075 1.77547874]
11,[1.75798371 1.84095963 1.79431324 1.7761373 ]
12,[1.87913056 1.82902658 1.88692473 1.92633446 1.81477642]
13,[1.75405375 1.80739216 1.80219529 1.74963873]
14,[1.85275826 1.79403457 2.04011308 1.8883008  1.93090218]
15,[1.78453384 1.74057145 1.83681903 1.73280394]
16,[2.06138995 1.8523247  1.88428125 1.8056253  1.81231717]
17,[1.99086148 1.8891932  1.78332562 2.26511234 1.67362076]
18,[1.80650854 1.69932952 1.84246474 1.83100418]
19,[1.81259923 1.80519208 1.93690586 2.09226707 1.91785918]
20,[1.83432625 1.88537913 1.81626924 1.67590435]
21,[1.82296558 1.79131206 1.81673224 1.75600381]
22,[1.73681706 2.0185576  1.84431637 1.87439336 1.90689874]
23,[1.97259483 1.9020296  1.94577133 1.82342757 1.77795208]
24,[1.78779684 1.76548487 1.85294743 1.93142211 2.08395268]
25,[1.92761325 2.00502274 1.87852596 1.83083297 1.83644731]
26,[1.85450346 2.00525123 2.00332453 1.8027343  1.90658773]
27,[1.70702124 1.83537424 1.77804109 1.88738756]
28,[1.79826806 1.91271792 2.23260383 1.90039034 1.72025205]
29,[1.79878328 1.78632567 1.76503294 1.78611251]
30,[1.70775925 1.79136775 1.92396692 1.76649095]
31,[1.78589665 1.83394399 1.743697   1.83083827]
32,[1.73881544 1.78692087 1.79561036 1.8027998 ]
33,[1.96387944 1.74678401 1.92088633 2.00341098 1.93016777]
34,[1.79162053 1.89381811 1.84539814 1.91383871 1.91280709]
35,[1.86123269 1.78782959 1.73439166 1.9057157 ]
36,[1.90786376 1.85843885 1.98434557 2.03530747 1.90536601]
37,[1.83252345 2.06321175 1.81171548 1.89190713 1.8339664 ]
38,[1.92873905 1.92255812 1.84922304 1.90094834 1.85024894]
39,[1.78752254 1.80269667 1.78594564 1.77289234]
