,length
0,[1.80564249 1.8371721  1.82116322 1.78041805]
1,[1.85565902 1.75991373 1.78419295 1.85635563 2.00321482]
2,[1.78059929 1.83272922 1.79792195 1.81598357]
3,[1.71490067 1.91554475 2.07011193 1.94021035 1.80762241]
4,[1.90878203 1.88439469 1.97670433 1.89107275 1.85438526]
5,[2.02102916 1.82438072 2.09006615 1.81838567 1.84675197 1.97516929]
6,[1.68455106 1.85152348 1.86903264 1.86605622]
7,[1.83890901 1.86434816 1.79377535 1.73166386]
8,[1.92510227 2.0473212  2.02875343 1.86196995 2.27564943 1.92042587]
9,[1.87138443 2.04103503 1.9175667  1.90715515 1.81560225]
10,[1.8243175  1.88582306 1.81250643 2.1420867  1.91992498]
11,[1.81398645 1.79361605 1.84794158 2.05971618 1.77991375]
12,[1.81775316 1.96385871 1.97116925 2.06903918 1.87149219]
13,[1.84258932 1.82436042 2.05403136 1.88532205]
14,[1.80737007 1.94286054 1.87785855]
15,[1.88309287 1.88255358 1.8612744  1.81947866]
16,[1.87861237 1.90227649 1.96299963 1.84428818 1.79173058]
17,[1.90411246 1.91084829 1.91694549 1.90944204 2.07846228 1.92844293]
18,[1.82539586 1.85526615 1.845846   1.82350588]
19,[1.77676015 1.80726761 1.81693577]
20,[1.95036294 1.88562826 1.83033911 1.83427959]
21,[1.7597122  1.86898686 1.82847827]
22,[1.8484405  1.79634585 2.20763208 1.88230568 1.73436787]
23,[1.83106205 1.83351273 1.78280356 1.83708691 2.22897558]
24,[1.76781969 1.94570549 1.79906008 1.76157109]
25,[1.78385337 1.87947003 1.76712991 1.7421155 ]
26,[1.7896432  1.78608051 1.81662105 1.69315366]
27,[1.83830255 1.95649782 1.96185093 1.80322396 1.8916568 ]
28,[1.79184582 1.77458205 1.83977435 1.77500071]
29,[1.81150354 1.69075813 1.80668091 1.80584716]
30,[1.82488001 1.75597623 1.76862915 1.8239587 ]
31,[2.07291209 1.92998979 1.91887764 1.81028806 1.83399647]
