,length
0,[1.93064828 1.76673316 2.00020791 1.90594389 1.84083219]
1,[1.81839736 2.0070434  1.7900388  1.78795825 1.96788796]
2,[1.86282911 1.85932241 1.92419005 1.84577875 2.29526887 1.97733336]
3,[1.82433562 1.77683287 1.79175743 1.80351171]
4,[1.74189004 1.81305392 1.80555555 1.92125135]
5,[1.91191291 1.810019   1.77056363 1.78418112]
6,[1.91739763 1.74268503 1.82496837 1.73543427]
7,[1.88639539 2.05509161 1.9125657  1.95514091 1.94776485 1.91069905]
8,[1.86322966 1.81265467 1.86296737 1.79438653]
9,[1.82008248 1.79348057 1.95429579 1.90725186 2.04432585]
10,[1.88087    2.01494316 1.84920154 2.10512012 1.90209606 1.92971956]
11,[2.04767656 1.89492651 1.85059099 1.93663907 1.9247836  1.89699138]
12,[1.88712444 1.95047153 1.87558129 1.82718425 1.86016909]
13,[1.74608881 1.78623367 1.91896999 1.75040301]
14,[1.87486734 2.23879269 1.8582283  1.87931032 2.03173463 1.87324409]
15,[1.83093654 1.94365385 2.09568972 1.89129072 1.89927863 2.00603053]
