,length
0,[2.24643774 1.83727121 1.91594281 1.72304367 1.8381378 ]
1,[1.75082963 1.74203663 1.80305097 1.77980801]
2,[1.81466433 1.94212004 1.79462588 1.75291398]
3,[1.79570934 1.97997948 1.90165936 2.04716248 1.86879276]
4,[1.79431048 1.79219172 1.79431471 1.73764874]
5,[1.99172308 1.99884076 1.86827502 1.87631089 1.79279257]
6,[1.87838295 1.91920148 2.27974876 1.82723483 1.85401428]
7,[1.96245286 1.85699158 1.91350722 1.85020895 1.96434021]
8,[1.94039354 2.08843072 1.84812403 1.89384101 1.81885693 2.42291201]
9,[1.8504977  1.73808243 1.83660172 1.83557849]
10,[1.81967265 1.91938867 1.74497332 1.78589445]
11,[2.05899925 1.81886435 1.72787542 1.83863922]
12,[2.10535115 1.80193473 1.83919954 1.8867223  1.88579529]
13,[1.76544374 2.13549952 1.85035611 1.94869517 1.7784955 ]
14,[1.80563028 1.73473501 1.78311578 1.75936266]
15,[1.82702399 1.70668566 1.87363017 1.84256782]
16,[1.87013751 1.84917317 1.9264018  1.86814961 1.78223181]
17,[1.80263053 1.81108417 1.69630606 1.9822067 ]
18,[1.68715038 1.80955439 1.77362717 1.93119548]
19,[1.78921422 1.74279246 2.01074634 1.78895762]
20,[2.3772377  1.90117748 1.77755521 2.01368162 2.06393778 1.85373732]
21,[1.81209404 1.84172276 1.8276521  1.93285517 1.87678099]
22,[1.67980853 1.84373407 1.92573508 1.75686298]
23,[2.08416903 1.79546115 1.78531258 1.76472432 2.02202486]
24,[1.83439822 1.89231273 1.80792962 1.85113728 1.88871337]
25,[1.91850423 1.79655044 1.82073234 1.85228946 1.96242311]
26,[1.80313421 1.79477104 1.81341773 1.75846703]
27,[1.77590814 1.73065436 1.78644218 1.81532159]
28,[1.91054744 1.74348848 1.80020712 1.90348627]
29,"[1.86713384 2.09153271 1.93488256 2.17426971 2.1890531  2.21583898
 2.08885729]"
30,[1.88533586 1.89973643 1.8101192  1.91484632 1.87500535]
31,[1.90650219 1.97376455 1.71347956 1.74168006 2.51678391]
32,[1.83261546 1.8363526  1.80132139 1.72217146]
33,[1.80005329 1.76276783 1.90651332 1.79775066]
34,[1.8691922  2.20957632 1.93920243 1.84612783 1.83355463]
35,[1.93967092 2.06727693 1.83482825 1.90428264 1.90727492]
36,[1.96700219 2.11400705 1.75290998 1.90507005 1.81136188]
37,[1.8818303  1.88151505 1.71210936 2.04581066 1.8771011 ]
38,[1.80777512 1.72819924 1.76889266 1.80538409]
39,[1.8612817  1.84148975 2.1236804  1.7423016  1.85174368]
