,length
0,[1.76507563 1.76507563 1.83117395 1.83117395]
1,"[3.39963292 3.1922908  3.37789426 2.0491032  1.98916765 1.92195132
 2.86988407 2.80325461 3.44201736 3.30418746 1.83284049 3.49383194
 3.40132191 1.97959657 2.96030885 3.40917864 3.27026823 3.39552429
 2.92174074 3.24165509 3.33346039 3.52348321 2.78772105 1.84924363
 3.39171929]"
2,[1.85385059 1.84675781 1.97600244 1.95810045 1.98515632 1.91571386]
3,[1.76702445 1.85094976 1.85287535 1.76754426]
4,[1.76754426 1.85287535 1.85094976 1.76702445]
5,[1.90301982 1.91212004 1.9414513  1.9414513  1.91212004 1.90301982]
6,"[1.84924363 3.39171929 3.52348321 2.78772105 3.33346039 3.39552429
 3.24165509 3.40917864 3.27026823 1.97959657 2.96030885 3.49383194
 3.40132191 1.83284049 2.80325461 3.44201736 3.30418746 2.0491032
 1.92195132 3.37789426 1.98916765 2.92174074 2.86988407 3.39963292
 3.1922908 ]"
7,[1.91571386 1.95810045 1.98515632 1.97600244 1.84675781 1.85385059]
8,[1.85094976 1.76702445 1.76754426 1.85287535]
9,[1.83117395 1.83117395 1.76507563 1.76507563]
10,"[3.27026823 3.40917864 3.39552429 3.24165509 3.33346039 3.52348321
 2.78772105 1.84924363 3.39171929 3.39963292 3.1922908  1.92195132
 2.0491032  1.98916765 3.37789426 2.86988407 2.92174074 2.80325461
 3.30418746 3.44201736 1.83284049 3.49383194 3.40132191 1.97959657
 2.96030885]"
11,[1.9414513  1.91212004 1.90301982 1.90301982 1.91212004 1.9414513 ]
12,[1.91571386 1.98515632 1.95810045 1.85385059 1.84675781 1.97600244]
13,[1.85287535 1.76754426 1.76702445 1.85094976]
14,"[1.97959657 2.96030885 3.49383194 3.40132191 2.80325461 1.83284049
 3.44201736 3.30418746 1.98916765 1.92195132 3.37789426 2.0491032
 2.86988407 3.1922908  3.39963292 1.84924363 3.39171929 3.52348321
 2.78772105 3.33346039 3.39552429 2.92174074 3.24165509 3.40917864
 3.27026823]"
15,[1.97600244 1.84675781 1.85385059 1.98515632 1.91571386 1.95810045]
