,length
0,[1.80953014 1.7698464  1.84314446 1.9559322 ]
1,[1.79502016 1.78549512 1.78442376 1.77946756]
2,[1.85898288 1.84367958 1.78098881 1.8158062 ]
3,[1.82749637 1.80984355 1.78682804 1.76822013]
4,[1.85958677 1.79979586 1.88946385 1.79375423 1.92101749]
5,[1.7781312  1.73030616 1.87172843 1.8153958 ]
6,[1.88489337 1.87492257 1.9440629  1.86496917 1.95482869]
7,[1.84826346 1.8328423  1.99652562 1.96002441 1.91124087]
8,[1.85898846 1.90257108 1.84402286 1.88347229 1.82684112]
9,[1.80380523 1.80060992 1.77816357 1.77708306]
10,[1.84819891 1.74252811 1.86180594 1.78312071]
11,[1.71855433 1.78535766 1.76517061 1.74635302]
12,[2.02429064 2.26563314 1.77313402 1.99850023 1.92382285 1.81607584]
13,[1.85557734 1.78120472 1.85737585 1.83369846]
14,[1.96000381 1.8539361  1.79008912 1.82407905 2.01182145]
15,[1.89630722 1.87761025 1.87018308 1.96091693 2.10702281]
16,[1.82362945 1.80999937 2.03227027 1.80430344 1.76756568]
17,[1.91988966 1.97659174 1.86571752 1.79440872 1.83363566]
18,[1.81129126 1.79407029 1.81866522 1.76811273]
19,[1.7741778  1.78823831 1.77073627 1.80108876]
20,[1.8606595  1.88232949 1.79771722 1.84739462 2.02643831]
21,[1.8384718  1.8536911  1.79441056 1.78680272]
22,[1.82283868 1.78392783 1.81991096 1.7688068 ]
23,[1.783194   1.83033291 1.96742843 1.79269466 1.83764681]
24,[1.88065072 2.15559522 1.86734643 2.32782846 1.85394368 1.78945844]
25,[1.74988236 1.79511208 1.80915286 1.760149  ]
26,[2.03393793 1.85151458 2.01986898 1.78379874 1.871217  ]
27,[1.72735124 1.78615374 1.79490495 1.8413495 ]
28,[1.79557271 1.85655525 1.84308276 1.81615463]
29,[1.75945953 1.79502731 1.73336194 1.76273291]
30,[1.76747631 1.79465582 1.75314693 1.73082712]
31,[1.75366491 1.81566394 1.78246721 1.78839113]
32,[1.87780933 1.84574765 1.84373515 1.83156752 1.89864875]
33,[1.83821299 1.939433   1.95390673 1.859458   1.92449482]
34,[1.98087119 1.88703542 1.77235348 1.87220978 1.96823738]
35,[2.01518167 1.80871591 1.76702887 1.85624309 2.10240512]
36,[1.78687742 1.72197198 1.7198761  1.79183667]
37,[1.90865372 1.86074857 1.95384171 2.13223271 1.90244155 1.99569538]
38,[1.90823433 1.92488154 1.88252665 1.85473944 1.88350299]
39,[1.84560618 1.9432034  1.88500112 1.84304534 1.89032327]
