,length
0,[1.78599638 1.77322246 1.79868587 1.75737097]
1,[1.75737097 1.78599638 1.77322246 1.79868587]
2,[1.93786473 1.91700563 1.96322591 1.96402836 1.97128035 1.82072942]
3,[1.96402836 1.97128035 1.82072942 1.93786473 1.91700563 1.96322591]
4,[1.82072942 1.96402836 1.97128035 1.96322591 1.93786473 1.91700563]
5,[1.8388087  2.21797523 1.88071275 2.02833854 1.96088591 1.82240457]
6,[1.9909728  2.26635368 1.8492741  1.83137902 2.0432793  1.84474056]
7,[2.26635368 1.8492741  1.9909728  2.0432793  1.84474056 1.83137902]
8,[2.0432793  1.84474056 1.83137902 2.26635368 1.8492741  1.9909728 ]
9,[1.82240457 2.02833854 1.96088591 1.88071275 1.8388087  2.21797523]
10,[1.88071275 1.8388087  2.21797523 1.82240457 2.02833854 1.96088591]
11,[1.77322246 1.79868587 1.78599638 1.75737097]
12,[1.75737097 1.77322246 1.79868587 1.78599638]
13,[1.83137902 2.0432793  1.84474056 1.9909728  2.26635368 1.8492741 ]
14,[2.02833854 1.96088591 1.82240457 1.8388087  2.21797523 1.88071275]
15,[1.96322591 1.93786473 1.91700563 1.82072942 1.96402836 1.97128035]
