,length
0,[1.82394697 1.89517799 1.82794086 1.91506585 1.89237034]
1,[1.88163457 1.91488411 1.88464231 1.93673443 1.84506212]
2,[1.92615802 1.95674976 2.00876827 1.84565866 1.82714974]
3,[1.82700367 1.97515265 1.80721735 1.86826509 1.91487965]
4,[1.79998781 1.79118554 1.78411166 1.78466148]
5,[1.74237524 1.74616998 1.73624758 1.75333186]
6,[1.9523735  1.84865055 1.7199449  2.0605362  1.85984701]
7,[1.83740164 1.87696864 1.80286935 1.98929451 1.87774654]
8,[1.77821269 1.85795243 1.78542313 1.84008348]
9,[1.77933784 1.87857246 1.83260161 1.76252377]
10,[1.89953508 2.22995333 1.89192755 1.84541509 2.11714228 2.02695008]
11,[1.98569177 1.82460489 1.91706546 1.86327002 1.8594017 ]
12,[1.77158483 1.82992449 1.87192305 1.84735354]
13,[1.77529729 2.06924455 1.80461814 1.93553823 1.9587486 ]
14,[1.8971042  1.77419762 1.80674843 1.82252143]
15,[1.75006848 1.83364409 1.78298974 1.83055229]
16,[1.81065114 2.22831429 1.78744888 1.76783625 1.81599939]
17,[1.79191323 1.82300285 1.82413334 1.84875993]
18,[1.79179857 1.75306199 1.78297995 1.85446218]
19,[1.7988977  1.90972464 1.83991247 1.80525072 1.82494384]
20,[1.90134234 1.87502856 2.17886392 2.03029862 2.15468185 1.95933278]
21,[1.75978226 1.73762857 1.78413939 1.78648284]
22,[1.85131248 1.75976343 2.01727042 1.87684666 1.91408028]
23,[1.88829181 1.94736333 2.02221847 1.81622174 1.81997641]
24,[1.85558016 1.83599775 1.87414689 1.70004589]
25,[1.78835795 1.76840331 1.77252529 1.81517304]
26,[1.75355644 1.8063308  1.78196396 1.80843036]
27,[1.85770804 1.83614388 1.84034475 1.87121673]
28,[1.79900056 1.79429211 1.76988773 1.81889887]
29,[1.77641083 1.82179048 1.83840093 1.94566921 1.87216376]
30,[2.03120619 1.97438309 1.80701875 1.80734831 1.83358508]
31,[1.80983251 1.97551784 1.83275004 1.97195009 1.84717759]
32,[1.88502458 1.82803427 1.87045245 1.85513486 1.97072856]
33,[1.97708846 1.97918726 2.03072745 1.87981089 2.02633623 1.89220577]
34,"[1.86880813 3.01077017 1.93733524 1.77213134 1.90761882 2.07087659
 2.34965692 2.70554872 2.57249462 3.01179798]"
35,[1.96346534 1.81847835 1.86743072 1.85450613 1.92745489]
36,[2.14073539 1.74172221 1.88215778 1.83859164 1.84076182]
37,[1.77651753 1.98904935 2.37744855 1.82884233 2.04486576 1.95976553]
38,[1.87304038 1.93325455 1.79125689 1.79579509 1.9911552 ]
39,[1.92844895 1.93334158 1.85295628 1.88960412 1.95702402]
