,length
0,[1.96766406 1.94470248 1.96766406 1.92807283 1.86421698 1.94470248]
1,[1.78245424 1.8652883  1.78245424 1.88683089]
2,[1.97171461 1.95109117 1.97171461 1.92892219 1.9516633  1.95109117]
3,[1.78807953 1.83055246 1.82450042 1.78807953]
4,[1.91951869 2.00777401 1.790737   1.91951869 2.00777401 1.99529638]
5,[1.77746542 1.82023738 1.91651717 1.77746542]
6,[1.77746542 1.77746542 1.91651717 1.82023738]
7,[2.00777401 1.91951869 1.99529638 2.00777401 1.91951869 1.790737  ]
8,[1.78807953 1.78807953 1.82450042 1.83055246]
9,[1.95109117 1.97171461 1.95109117 1.9516633  1.92892219 1.97171461]
10,[1.78245424 1.88683089 1.78245424 1.8652883 ]
11,[1.94470248 1.96766406 1.94470248 1.86421698 1.92807283 1.96766406]
