,length
0,[1.71996413 1.84571956 1.8620396  1.85955841]
1,[1.88469443 1.89333096 1.95247154 1.95327718 1.9189229  2.02221595]
2,[1.9519862  1.82033633 2.06118107 1.79347413 1.95324405 1.86579572]
3,"[3.32274758 2.89510678 1.91137645 3.364532   1.91191967 2.92177369
 2.88616102 3.53172878 3.32068888 1.93892582 3.51873858 3.30074259
 2.89206491 3.43083361 3.27567233 1.89463174 3.04862806 2.73587014
 3.44446471 3.42384116 1.90340508 2.77438361 1.88597588 2.96187763
 3.34443859]"
4,[1.91619296 1.93684779 1.94601169 1.88322926 1.98526234 1.98058464]
5,[1.80262738 1.81183916 1.85044164 1.78552724]
6,[1.91399902 1.84750375 2.12534243 1.91036148 1.80420471 2.03942425]
7,[2.07890593 1.8853174  1.92179442 1.91072117 1.89525947 1.97608361]
8,[2.406631   1.83637035 2.22107904 1.79109137 1.83580872 2.11275107]
9,[1.82152193 2.05314175 1.85300311 2.10741378 1.84492227 1.99049055]
10,[2.31816383 1.86784962 1.99272017 1.94849569 1.98692188 1.78721661]
11,"[3.35919619 3.16928655 2.66026175 1.89992721 3.25460898 1.84577754
 3.20778969 3.37199462 3.19068786 3.35044062 1.85521891 3.41950248
 2.79398915 2.04668351 2.99473917 3.61013747 3.25130762 3.52031777
 1.95053473 3.2848936  3.51784595 1.94919489 2.81918507 3.58913462]"
12,[1.78433211 1.85485368 1.79455798 1.79121131]
13,"[3.44821453 3.39389646 1.86860842 2.80871282 2.01782347 3.18886921
 3.59283099 3.56260216 1.9591558  2.99473917 3.30993192 1.97204408
 3.48317379 2.80082525 3.53545466 3.3579637  3.18503036 1.90316087
 3.25366005 1.82920044 3.15309693 2.66026175 3.20924047 3.38563576]"
14,[1.73644117 1.79485169 1.74563724 2.02795067]
15,[1.88780241 2.10736851 1.78350802 1.96595464 2.1005526  1.78553692]
