,length
0,[1.98398987 1.76899467 1.7747379  1.97907557 1.88241622]
1,[1.76817625 1.90920299 1.82309233 1.93211458]
2,[1.78666948 1.73647525 1.7739002  1.84917669]
3,[1.94554784 1.84432619 1.84976571 1.95094243 1.99330065]
4,[1.77927404 1.89377361 1.93068949 1.93959275 1.91025937]
5,[1.82084364 2.18008406 1.88540931 1.98147448 2.11809471 1.92379297]
6,"[2.63047803 2.07953598 2.28152247 1.80997028 1.86486355 1.86519225
 2.00747334]"
7,[1.7804044  1.82560579 1.81925504 1.76566581]
8,[1.84999752 1.95861834 1.83761807 1.81197251 1.91347837]
9,[1.83144347 1.91731427 1.75501619 1.77316939]
10,[1.86292055 1.86539047 1.8621471  1.79630839 2.01618877]
11,[1.7973928  1.81389731 1.78183767 1.83320369]
12,[1.90391722 1.86834927 2.08543566 1.94351294 2.10804715 1.8770194 ]
13,[1.98028028 1.80387837 1.92074786 1.91698435 1.81414274]
14,[1.8096508  1.85963663 1.94043367 1.95695068 1.88326214]
15,[1.81764274 1.84392549 1.88262932 1.83083034 1.82042345]
16,[1.87205746 1.86160374 2.08633842 1.76894758 1.82250205]
17,[2.04004423 1.88425878 1.7716963  1.82037656 1.85021202]
18,[2.03986119 1.80878087 1.7872851  1.87256633 1.84235955]
19,[1.86799318 1.9066355  1.98255888 1.97877424 1.78209599]
20,[1.78058423 1.7794873  1.78695997 1.79066991]
21,[1.75371054 1.86037097 1.78638766 1.77014787]
22,[1.79288123 1.81121405 1.75761713 1.75403183]
23,[1.85469495 1.81293674 1.77479711 1.82660378]
24,[1.80993743 1.89792465 1.79854526 2.19240771 1.89548022]
25,[1.717024   1.85890916 1.70905158 1.94710028]
26,[1.76349755 1.84971033 1.68788813 1.7905723 ]
27,[1.82304062 1.88827823 1.85601456 1.97306016 1.96671678]
28,[1.91385137 1.86246316 1.99999248 1.85970377 1.87373945]
29,[1.84914681 1.79648948 1.81137925 1.82352572 2.06911967]
30,[1.95786526 1.87731345 1.82951243 1.90086618 1.83240618]
31,[1.74823776 1.85094122 1.87430915 1.80045167]
32,[1.82507818 1.82318448 2.20049886 1.89934628 1.83059514]
33,[1.8484335  1.83191827 1.78640525 1.78876778]
34,[1.86249396 1.7304334  1.81846097 1.78268267]
35,[1.73362047 1.77169394 1.74670693 1.77570428]
36,[1.72310021 1.77132824 1.79074642 1.79935593]
37,[1.85809339 1.92968127 1.95269324 1.81856517 1.90107812 2.09046825]
38,[1.8660969  1.77273045 1.75032391 1.77715443]
39,[1.87166871 1.86953724 1.87140958 2.04116851 1.8091562 ]
