,length
0,[1.84601029 1.86792326 1.79398254 1.75969636]
1,[1.79409536 1.78617845 1.79617822 1.76442616]
2,[1.77861044 1.80753121 1.78034668 1.82286122]
3,[1.82484292 1.81460454 1.76849658 1.72721994]
4,[1.8128327  1.76677151 1.82968487 1.7052441 ]
5,[1.85945464 1.85877733 2.25792424 1.98264066 1.94859945 1.87176166]
6,[1.77281234 1.85212006 1.70941225 1.80626695]
7,[1.82813123 1.80411052 1.95948262 1.84614519 1.85322293]
8,[1.77717461 1.83835916 1.90147489 2.06313113 1.88322006]
9,[1.82756223 1.81010936 1.77712513 1.77280528]
10,[1.76086678 1.88336932 1.92052059 1.86455548 1.93307282]
11,[1.7933382  1.85251968 1.80076138 1.87673138 2.11097715]
12,[1.82961957 1.81836648 1.91874898 1.86689481 1.94317091]
13,[1.71168316 1.73709455 1.87471681 1.86508566]
14,[1.82561516 1.82847421 1.89531953 1.87003874 2.01561867]
15,[1.97832856 1.81349699 1.82816462 1.79183339 1.96521689]
16,[1.74585105 1.86161019 1.79308861 1.83279259]
17,[1.81852349 1.7774701  1.87557525 1.78420208]
18,[1.77461666 1.80660995 1.74904968 1.78726572]
19,[1.80999568 1.82067609 1.74825142 1.77366769]
20,[1.90459565 2.27629818 1.83632729 1.81640133 1.8642858 ]
21,[1.81772555 1.78004963 1.78478781 1.79494644]
22,[1.83866649 1.77999852 1.75987759 1.80470957]
23,[1.92832173 1.89441876 1.87031589 1.86254486 1.84037756]
24,[1.86273368 1.93705894 1.94326158 1.92266125 2.30319741 1.81698424]
25,[1.75830675 1.73800028 1.78506068 1.75339607]
26,[1.9482635  1.82296467 1.90793073 1.8541134  1.83602603]
27,[1.83701862 1.82250609 1.73390826 1.86043184]
28,[1.92359719 1.89603943 1.94814175 1.91950469 1.81117311]
29,[1.90530134 2.12798459 1.92467697 1.95183048 1.91693374 2.07201718]
30,[1.9714728  1.83197424 1.79863209 2.16736629 1.8650342 ]
31,[1.89017427 1.98686853 2.00647618 1.92081709 1.88404646 1.93146323]
32,[1.8179312  1.83763609 2.15740997 1.86765418 1.88916658]
33,[1.80162617 1.7094535  1.7559588  1.85247159]
34,[1.80063712 1.85370198 1.78279492 1.81451047]
35,[1.79331696 1.83369258 1.82177521 1.76883399]
36,[1.92476971 1.74809128 1.7012101  1.7972105 ]
37,[1.78300903 1.78681609 1.79381585 1.80357625]
38,[1.79449767 1.7488955  1.74347512 1.76454191]
39,[1.79010012 1.78394866 1.77025434 1.82354492]
