,length
0,[1.80282371 1.76016534 1.77519367 1.77029392]
1,[1.71812202 1.84336598 1.78554525 1.91008288]
2,[2.01343379 1.74426818 1.90008689 1.78896844 1.95835509]
3,[1.84896672 1.77304533 1.7543812  1.80040532]
4,[1.81011227 1.81408674 1.83790638 1.78959998]
5,[1.83068722 1.83060891 1.83631652 2.01835383 1.88345615]
6,[1.89460012 1.7286306  1.74645982 1.78455594]
7,[1.83091075 1.82822447 1.77553778 1.7704935 ]
8,"[1.87869872 2.76562486 2.46826512 1.83142537 2.73503356 2.28305462
 1.86472806 1.85129994]"
9,[1.88922515 1.83067453 1.81717706 1.88444058]
10,[1.83614444 1.90474507 2.00641324 1.87438388 1.88579406]
11,[2.12074921 1.82330475 1.80173706 1.93716032 1.8387547 ]
12,[1.9235638  1.76023917 1.79999054 1.72171892]
13,[1.75876283 1.86644194 1.85321517 1.85836125 2.01285174]
14,[1.84324515 1.8556283  1.8691805  2.00828871 1.96675718]
15,[1.87767074 1.93554407 1.99381789 1.8588819  2.02448048]
16,[1.90001083 1.90933388 1.90327845 1.83975474 1.79759049]
17,[1.97786281 1.83209825 1.89088854 1.82278147 1.9782345 ]
18,[1.79460484 1.80435318 1.78290284 1.8345018 ]
19,[1.80796605 1.98438344 1.85655112 1.81521953 1.99204166]
20,[1.78584791 1.77943806 1.93334927 1.89754304 1.89172441]
21,[1.90619861 1.92999922 2.00627249 1.85817961 1.81633192]
22,[1.82693165 1.73898958 1.75082667 1.77556968]
23,[2.16406751 1.84667772 1.87062614 1.80823628 1.88657083]
24,[1.82654923 1.77941909 1.73176785 1.7332727 ]
25,[1.84426591 1.80859205 1.87556908 2.03214434 1.81144669]
26,[2.07759172 1.84697394 1.77456413 1.94766643 1.78666284]
27,[1.787533   1.82963067 1.80862108 1.80041127]
28,[1.90937546 1.9378737  1.80096133 1.8551015  1.72983136]
29,[1.75031295 1.77164028 1.99617941 1.91730402 1.78937733]
30,[1.77929039 1.78117794 1.72171124 1.86234681]
31,[1.82568818 1.91893422 2.17559788 1.91459932 2.1147547  1.88413955]
32,[1.78317813 1.83562256 1.82483134 1.73385231]
33,[1.78009917 1.90697323 1.72591175 1.82143031]
34,[1.7950428  1.82819578 1.86452444 2.22766256 1.80878257]
35,[1.83200794 1.79618714 1.82231848 1.82702694]
36,[1.7525777  1.76917408 1.79350304 1.76079759]
37,[1.80001568 1.79054352 1.81776271 1.76612303]
38,[1.80924863 1.81483845 1.81027886 1.79555626]
39,"[2.26915341 2.61861055 1.84853782 2.58467699 1.79044793 2.6387821
 1.7393147  1.93697671]"
