,length
0,[1.74468364 1.88211125 1.82311711 1.83757029]
1,[1.94892487 1.88933572 1.80188207 1.87518244 1.8119578 ]
2,[1.73508785 1.71536398 1.9200249  1.78461877]
3,[1.83633231 1.83621698 1.94918823 1.8875657  1.85072263]
4,[1.84592447 1.80955146 1.82377238 1.69130303]
5,[1.86862813 1.93042055 1.92575656 1.80679206 1.80072174]
6,[1.76474191 1.72250969 1.75372475 1.84074126]
7,[1.87309949 1.91042329 1.79558424 1.85716766 1.88264318]
8,[2.05902217 1.84549502 1.8402119  1.8037665  1.88837421]
9,[1.81112269 1.7675248  1.72915531 1.90831776]
10,[1.83076274 2.02091516 2.33761379 1.82723444 1.86147633]
11,[2.01045487 1.83403949 1.95742348 1.78538867 1.85410133]
12,[1.78487215 2.17921289 1.79578574 1.82457138 1.95021369]
13,[1.74938772 1.97185355 1.78037339 1.80118558]
14,[1.80106534 1.98815478 1.83526199 1.97797534 1.87185342]
15,[1.77966881 1.87750122 1.78466945 1.74383943]
16,[1.82985188 1.93447698 1.81519642 1.82403437]
17,[1.80200017 1.83289827 1.72782202 1.81605713]
18,[1.80627927 1.94589186 1.93707678 1.8595576  1.98380827]
19,[1.79087378 1.78458228 1.79701138 1.81898582]
20,[1.83595268 1.87513864 1.77749215 1.75939751 1.92769049]
21,[1.78426314 1.77808238 1.8464249  1.7775705 ]
22,[1.86747452 1.93026958 1.96099448 1.93334833 1.90261996]
23,[1.82235789 1.81784277 1.8059916  2.00292926 1.86530469]
24,[1.93809974 1.83097251 1.82115224 1.82127905 1.99725853]
25,[1.79253628 1.71912532 1.83351768 1.84415922]
26,[1.89173111 2.17844943 1.91505684 2.02561089 1.94951043 1.79474123]
27,[2.1026725  1.97495202 1.83095602 1.90923569 1.77370937]
28,[1.81848113 1.76410345 1.81089628 1.80488963]
29,[1.83133618 1.7492494  1.76740367 1.7784509 ]
30,[2.02397975 1.76847729 1.85667043 1.95289213 1.85513613]
31,[1.80341892 1.90945307 1.75998352 2.09732622 1.89566702]
32,[1.87379563 2.26254249 1.82311351 2.26550668 2.00290588 1.88516399]
33,[1.77537682 1.71873905 1.95005089 1.80077087]
34,[1.79397891 1.81665287 1.79806818 1.82171    2.11880101]
35,[1.751456   1.86690258 1.80273564 1.73473796]
36,[1.77170846 1.77863822 1.97757906 1.86147588 2.00969148]
37,[1.82745412 1.75683819 1.84232715 1.78387746]
38,[1.97986662 1.81177827 1.91626818 1.96932117 1.83380501]
39,[2.00515609 1.73277801 1.87660179 1.87774279 2.10079149]
