,length
0,[1.86998463 1.85231089 1.79788312 1.90010287 2.00478269]
1,[1.84401597 1.80593483 1.91948579 1.72874427]
2,[1.91727029 1.86992498 1.85857745 1.88250834 2.0899877  1.92542606]
3,[1.84119105 1.83892937 1.84361118 2.22288461 1.89619739]
4,[1.78526904 1.72160415 1.89932407 1.78100004]
5,[1.83335594 2.0231375  1.78021478 1.78350254]
6,[1.95911716 1.76733384 1.89304395 1.73582896]
7,[1.99464403 2.02796775 1.85740959 1.86421518 1.93704163 1.87737406]
8,[1.80946508 1.80236462 1.84710644 1.78769828]
9,[1.81983927 1.82806375 1.87057507 2.19550374 1.887231  ]
10,[2.02650962 1.96637435 1.99808481 1.86443144 1.92468079 1.87496569]
11,[2.29844329 1.89119198 1.8384928  1.83720262 1.9928667  1.92174573]
12,[1.90016161 1.87606957 1.92924659 1.84915202 1.89056043]
13,[1.74762713 1.78153697 1.88900539 1.80452112]
14,[1.83164897 1.8768088  1.81230333 2.07410013 1.91607426]
15,[1.81529537 1.85778943 1.7698949  1.79472079]
