,length
0,[1.83989206 1.76707424 1.79234215 1.78246098]
1,[1.81118238 1.77156872 1.802705   1.77563073]
2,[1.80275354 1.90080988 1.80717463 1.87448466 2.1607175 ]
3,[1.8003576  1.81419863 1.82942174 1.80813232]
4,[1.79876698 1.83373362 1.7987025  1.76192546]
5,[1.83940963 1.8577668  2.32694672 1.85426189 1.81367858]
6,[1.8113523  1.74330017 1.83478959 1.77050372]
7,[1.80988124 1.89300959 1.94151087 1.80886872 1.99370458]
8,[1.86811223 1.83669378 1.74144266 1.79622302]
9,[1.81605318 2.15911137 1.76671386 1.90155552 1.81728941]
10,[1.81148771 1.9055149  2.04705792 1.79020502 1.93279255]
11,[1.85368326 1.74094029 1.89612687 1.79767909]
12,[1.84349366 1.72007115 1.77954907 1.75621317]
13,[1.77227525 1.77243944 1.7968092  1.76709878]
14,[1.79390589 2.27052336 1.79296396 1.95535321 1.82415082]
15,[1.81456953 1.80502522 1.74112199 1.77943679]
16,[1.83733942 1.87918205 1.90357468 1.8270394  1.88149764]
17,[1.77433875 1.90460842 1.77951861 1.78518635]
18,[1.79455636 1.8121749  1.95912457 2.22323105 1.78937493]
19,[1.81850129 2.0738852  1.87101983 1.90460871 1.76696332]
20,[1.9562185  1.82609351 1.80095226 2.18960075 1.76306582]
21,[1.71541602 1.75832517 1.78455364 1.85938139]
22,[1.88112125 1.93375589 1.83669948 1.93982803 1.94034446]
23,[1.76520858 1.78429417 1.81807418 1.8457658 ]
24,[1.82363016 1.84703284 1.79435227 1.78400619]
25,[1.87670626 2.33229764 1.98813288 1.93588521 1.88110574 1.87012753]
26,[2.00672988 1.76909488 1.83653697 1.89662157 1.96838026]
27,[1.78352511 1.91142053 1.87224044 1.87719233 1.83085876]
28,[1.86956229 1.77881246 1.81465618 1.98633275 1.87033105]
29,[1.73380485 1.83378918 1.82340919 1.78471157]
30,[1.94174383 1.89833837 1.89572596 1.87103036 1.84651671]
31,[1.83614998 1.9098234  1.86204405 1.77934004 2.00255503]
32,[1.81923635 1.78371519 1.95783664 1.92806022 1.73605515]
33,[1.75074114 1.81527484 1.73297033 1.79344917]
34,[1.87053473 1.82828674 1.92851396 2.06094735 1.82955759]
35,[1.94476385 1.8710805  1.83981272 1.79365326 2.00314648]
36,[1.79317452 1.87854763 1.89146284 1.89985148 1.8552977 ]
37,[1.82325992 1.79642635 2.0509898  1.90219659 1.898398  ]
38,[1.92029767 2.00098461 1.81196987 1.82059407 1.94287184]
39,[2.28069247 2.06111862 1.90037478 1.90973225 2.03219758 1.86822587]
