,length
0,[1.80116231 1.77009517 1.79366861 1.80250189]
1,[1.99052256 1.75498117 1.84055181 2.09067941 1.78192927]
2,[1.76369943 1.74111901 1.85221478 1.73462337]
3,[1.82077674 1.78934381 1.82318473 1.84376095]
4,[1.74217147 1.91188435 1.78410988 1.93608069 1.949726  ]
5,[1.7608681  1.7229568  1.8270418  1.78552593]
6,[1.84314589 1.81735955 1.75987228 1.70957303]
7,[1.82205938 1.87004904 1.86876803 1.75553923]
8,[1.89311539 1.80147048 1.91760597 2.046045   1.98613133]
9,[1.82740702 1.8129786  1.76586121 1.90465662]
10,[2.04315203 1.84465775 1.80627016 1.7679991  2.08975002]
11,[1.83565894 1.85875173 1.77262301 1.81471552]
12,[2.06246471 1.94875609 2.0310745  1.88154042 1.74820787]
13,[1.75368806 1.93786096 1.87284357 1.82270819 1.94922406]
14,[1.74809699 1.78105667 1.73298522 1.75936156]
15,[1.84707463 2.04086175 1.93185834 2.08947513 1.8765252  1.98774652]
16,[1.8225397  1.78678126 1.85997717 1.80827144 2.18267939]
17,[1.73658685 1.87408501 1.84588733 1.82084159]
18,[1.85714417 1.76025106 1.84491479 1.73134328]
19,[1.8218792  1.97242538 1.8545669  1.8047348  1.88887552]
20,[1.84069521 1.84576265 1.71555862 1.77495276]
21,[1.89458816 2.01716602 1.87179734 1.95044029 1.96325341 1.94756921]
22,[1.87282181 1.8324187  1.73327879 2.28653117 1.75018377]
23,[1.81909537 2.61311792 1.92940453 1.80310855 1.80549877]
24,[1.90538113 1.75507302 1.78054102 1.83524984 1.93467878]
25,[1.79264154 1.84686445 1.84612517 1.77729133]
26,[1.95086923 1.88877714 1.7996465  1.85149194 1.8623596 ]
27,[1.77634899 1.97058745 1.88015119 1.93858806 1.87322589]
28,[1.80030031 1.88648815 1.76378128 1.91447435]
29,[2.02982975 1.85699575 1.80342863 1.79351234 1.92642658]
30,[1.8398561  1.77513956 1.83975582 1.85695714]
31,[1.79975107 1.86998462 1.97473331 1.75679686 2.00009308]
32,[1.82743437 1.78944834 1.83695082 1.92612548]
33,[1.79092625 1.78484978 1.82788188 1.87166703]
34,[1.88030567 1.80273294 1.81646592 1.82942211]
35,[1.97485047 1.7673365  1.86886368 1.86746643 1.81504085]
36,[1.8905466  2.02302287 1.76582335 2.08157589 1.79012376]
37,[1.77626803 1.81007994 1.72991599 1.79857285]
38,[1.83765074 1.73255176 1.75551304 1.80869288]
39,[1.91018262 1.76705164 1.84545079 1.78319624]
