,length
0,[1.79615962 1.78659022 1.82420485 1.81900206]
1,[1.93022736 1.88521701 1.79695675 1.86344582 1.85034552]
2,[1.83364237 1.8003412  1.77120448 1.83667277]
3,[1.82968348 1.88228736 1.86789606 1.78458998]
4,[1.87357359 1.76718053 1.82919641 1.83351183]
5,[2.1322808  1.81341483 1.79540045 1.88324701 1.95810568]
6,[1.87317439 1.86545527 1.71148664 1.86537196]
7,[1.88806507 1.8249394  2.24428335 1.9376948  1.84899925 1.96070338]
8,[1.77792236 1.83429888 1.78938357 1.78523052]
9,[1.91637132 1.87196515 2.01142636 1.81647818 1.85195313 1.98457308]
10,[1.82026246 1.80670402 1.80129545 1.88894747 1.91743001]
11,[2.06200781 1.86556489 1.78818893 1.82274537 1.87039869]
12,[1.86513307 1.84409052 1.82070955 1.83973764]
13,[1.80373796 1.77715306 1.72528094 1.79291525]
14,[1.84087628 1.74603244 1.82919344 1.77618125]
15,[1.83301329 1.82032649 1.88191063 1.76924263]
16,[1.96784824 1.96393214 1.7861177  1.97382589 1.90794952]
17,[1.73672719 2.16295037 1.83798478 1.8762987  1.83684306]
18,[1.79097616 1.83763704 1.78947394 1.89858778]
19,[1.81296568 1.81019764 1.78139897 1.69483469]
20,[1.75336353 1.8023104  1.74469915 1.71660053]
21,[1.80317279 1.78969256 1.81162702 1.78723814]
22,[1.81320572 1.8515957  1.77660904 1.78040868]
23,[1.84365113 1.85685724 1.80394782 1.79918572 2.04558661]
24,[1.77831977 1.83203834 1.88869275 1.75887391]
25,[1.77511847 1.84541885 1.82713963 1.93816807 1.91414898]
26,[1.89183874 1.85720016 1.81677156 1.80452261 2.11732542]
27,[1.71253216 1.8360954  1.80026947 1.80427723]
28,[1.97810758 1.89430505 1.89509391 1.96707092 1.86790588]
29,[1.79093024 1.83318378 2.02462899 1.96152497 1.94675607]
30,[1.79105886 1.78390737 1.75232916 1.80491453]
31,[1.81615544 1.81474538 1.85441463 1.92160717 1.93802649]
32,[2.17511947 1.87223448 1.83270417 2.11558299 1.82498071 1.85573333]
33,[1.83602608 1.85941712 1.9208132  1.94749667 1.81439459]
34,[1.96016075 1.94086829 1.74273753 1.82190149]
35,[1.76849451 1.79570413 1.78575826 1.80101998]
36,[1.75862889 1.74891981 1.78456475 1.81117242]
37,[1.83399499 1.81511101 1.85229087 1.84775993]
38,[1.91945829 1.8444144  2.0320345  1.96174946 1.84659497]
39,[1.85760666 1.98703044 1.79117827 1.82715769]
