,length
0,[1.75855194 1.77348522 1.7974207  2.21063122 1.90153441]
1,[1.78362487 1.85195283 1.87316102 1.81003601]
2,[1.78660278 1.86096594 1.82009582 1.78054105]
3,[2.02021248 1.76945592 1.85697708 1.9169813  1.8546358 ]
4,[1.83487469 1.84221292 1.92392758 1.84271389 1.96719225]
5,[1.9499308  1.87497493 1.78635068 1.90474864 1.85886238]
6,[1.76568931 1.81590758 1.80646981 1.83635007]
7,[1.83306473 1.88688259 1.96820947 2.01379232 1.89530177]
8,[1.84897801 1.79175608 1.86098003 2.03117514 1.88418649]
9,[1.77396216 1.83438663 1.82399908 1.80478269]
10,[1.86001    1.83212271 2.26409333 1.82728896 1.83633591]
11,[1.78045276 1.84645764 1.73791179 1.77611905]
12,[1.85783685 1.83893498 1.80312123 1.82193432]
13,[1.90257664 1.86372342 1.94073851 1.82110969 2.00186146]
14,[1.98128749 2.05325955 1.87801128 1.85740315 2.11342898 1.97921324]
15,[1.82378037 1.78937558 1.73427184 1.79195249]
16,[1.75169623 1.78069197 1.83433409 1.76670346]
17,[1.75697117 1.78410841 1.84377945 1.8000702 ]
18,[1.72290617 1.74429711 1.79740471 1.81175556]
19,[1.89814189 2.02547572 1.92099215 1.91395501 2.41195077 1.93821748]
20,[1.75748958 1.80048721 1.78949664 1.78549849]
21,[2.00886239 1.8234986  1.89249259 1.72288424 2.00569968]
22,[1.7539323  1.82978011 1.81021483 1.81465575]
23,[1.75716402 1.78383345 1.73614065 1.76348484]
24,[1.99502109 1.80701718 1.8580065  1.94368093 1.82621579]
25,[1.77269391 1.82832868 1.76817158 1.81866427]
26,[1.78427912 1.78379222 1.77423374 1.774537  ]
27,[2.07140303 1.88108534 1.83942339 1.84451388 1.85102799]
28,[1.78873957 1.72535565 1.86478728 1.83035311]
29,[1.81070407 1.81109328 1.74311658 1.86926518]
30,[2.08618515 1.8063695  1.88053972 1.91120596 1.81020434]
31,[1.88281238 2.01107943 2.17573186 1.87807711 1.92583181 1.96497899]
32,[1.92797777 1.8689475  1.76832921 1.96371174 1.86621986]
33,[1.96800109 2.14600784 1.91706893 1.92402176 2.13308978 1.9201835 ]
34,[2.06194263 1.96127329 1.96639305 1.84092603 1.88429569]
35,[1.87110592 1.90880269 1.74917099 1.80085802 1.88776698]
36,[1.82427275 1.87445564 2.11344594 1.9624682  1.82084662]
37,[1.80529293 1.75333023 1.76207089 1.79649791]
38,[1.81747929 1.83541043 1.77549232 1.87429497]
39,[1.80715917 1.75933888 1.94643324 1.99714296 1.76865453]
